CaseID,E1_MPa,E2_MPa,G12_MPa
Case_0001,42125.363499,12971.493711,4219.399841
Case_0002,40615.096824,11095.679136,4063.020346
Case_0003,45060.587018,11250.468831,4777.027592
Case_0004,46615.160838,12620.276836,4479.740747
Case_0005,49254.4232,11552.653604,4483.356928
Case_0006,43419.679312,12700.74934,4333.107845
Case_0007,41521.805908,13187.131565,4581.730583
Case_0008,49010.035249,12573.767988,4854.538647
Case_0009,41080.177933,11047.336383,4159.697864
Case_0010,42570.963952,12950.725191,4609.67873
Case_0011,48798.180257,10854.639924,4303.091028
Case_0012,44405.665091,12094.650629,4892.100508
Case_0013,46045.283089,12197.107719,4736.963468
Case_0014,43921.169777,11863.591572,4357.966843
Case_0015,46356.521056,11350.466395,4533.407404
Case_0016,49385.669792,12328.400129,4200.377356
Case_0017,47271.333555,11822.088006,4804.677325
Case_0018,46211.351722,11776.328423,4352.410665
Case_0019,45692.548986,11986.660419,4935.418162
Case_0020,43885.697482,11658.469846,4096.37181
Case_0021,41740.592322,11700.042134,4454.327305
Case_0022,40909.505277,10847.871637,4083.882895
Case_0023,42015.945928,12773.369651,4401.653144
Case_0024,42664.776475,10919.68876,4514.5444
Case_0025,47129.29284,12360.367818,4565.738608
Case_0026,45377.408948,11168.663098,4377.448621
Case_0027,41775.64899,10980.277544,4713.563707
Case_0028,40684.501936,12911.295426,4277.762199
Case_0029,46899.367314,12743.453074,4187.861689
Case_0030,47826.822931,12168.36872,4537.762357
Case_0031,45196.694252,11517.236681,4431.302785
Case_0032,44245.047465,11904.155775,4688.664452
Case_0033,43136.979199,12034.544672,4130.513513
Case_0034,48641.90236,11748.892739,4248.975081
Case_0035,44992.298353,11388.067878,4147.327079
Case_0036,45828.670686,13083.233133,4752.038797
Case_0037,47623.923386,11450.554843,4820.132328
Case_0038,43298.089467,12132.574186,4245.549061
Case_0039,46688.136188,12668.087688,4648.254831
Case_0040,42339.354835,12393.547733,4639.564179
Case_0041,47495.107242,11573.498484,4590.265641
Case_0042,41352.564819,11308.602645,4907.913684
Case_0043,47888.248389,12487.754354,4829.134486
Case_0044,48292.089833,12270.014409,4873.149096
Case_0045,48434.362556,12833.423077,4412.523281
Case_0046,43666.067823,13019.561836,4922.760085
Case_0047,48101.02169,11212.627633,4669.315453
Case_0048,42875.790777,12449.947865,4732.243972
Case_0049,44521.245093,13107.780338,4108.37395
Case_0050,44667.98631,11033.33294,4295.631236
