Index,CaseID,Split
0,Case_0001,train
1,Case_0002,test
2,Case_0003,validation
3,Case_0004,train
4,Case_0005,train
5,Case_0006,validation
6,Case_0007,test
7,Case_0008,test
8,Case_0009,test
9,Case_0010,train
10,Case_0011,train
11,Case_0012,train
12,Case_0013,train
13,Case_0014,train
14,Case_0015,test
15,Case_0016,test
16,Case_0017,train
17,Case_0018,test
18,Case_0019,train
19,Case_0020,train
20,Case_0021,train
21,Case_0022,train
22,Case_0023,train
23,Case_0024,train
24,Case_0025,train
25,Case_0026,train
26,Case_0027,train
27,Case_0028,validation
28,Case_0029,train
29,Case_0030,train
30,Case_0031,train
31,Case_0032,train
32,Case_0033,train
33,Case_0034,train
34,Case_0035,validation
35,Case_0036,train
36,Case_0037,train
37,Case_0038,validation
38,Case_0039,train
39,Case_0040,train
40,Case_0041,test
41,Case_0042,train
42,Case_0043,train
43,Case_0044,train
44,Case_0045,train
45,Case_0046,train
46,Case_0047,train
47,Case_0048,validation
48,Case_0049,train
49,Case_0050,validation
