NodeLabel,X_mm,Y_mm,Z_mm
1,-12.0,0.0,8.0
2,-12.0,0.5714286,8.0
3,-12.0,1.1428572,8.0
4,-12.0,1.7142857,8.0
5,-12.0,2.2857144,8.0
6,-12.0,2.857143,8.0
7,-12.0,3.4285715,8.0
8,-12.0,4.0,8.0
9,-12.0,0.0,7.3846154
10,-12.0,0.5714286,7.3846154
11,-12.0,1.1428572,7.3846154
12,-12.0,1.7142857,7.3846154
13,-12.0,2.2857144,7.3846154
14,-12.0,2.857143,7.3846154
15,-12.0,3.4285715,7.3846154
16,-12.0,4.0,7.3846154
17,-12.0,0.0,6.769231
18,-12.0,0.5714286,6.769231
19,-12.0,1.1428572,6.769231
20,-12.0,1.7142857,6.769231
21,-12.0,2.2857144,6.769231
22,-12.0,2.857143,6.769231
23,-12.0,3.4285715,6.769231
24,-12.0,4.0,6.769231
25,-12.0,0.0,6.1538463
26,-12.0,0.5714286,6.1538463
27,-12.0,1.1428572,6.1538463
28,-12.0,1.7142857,6.1538463
29,-12.0,2.2857144,6.1538463
30,-12.0,2.857143,6.1538463
31,-12.0,3.4285715,6.1538463
32,-12.0,4.0,6.1538463
33,-12.0,0.0,5.5384617
34,-12.0,0.5714286,5.5384617
35,-12.0,1.1428572,5.5384617
36,-12.0,1.7142857,5.5384617
37,-12.0,2.2857144,5.5384617
38,-12.0,2.857143,5.5384617
39,-12.0,3.4285715,5.5384617
40,-12.0,4.0,5.5384617
41,-12.0,0.0,4.923077
42,-12.0,0.5714286,4.923077
43,-12.0,1.1428572,4.923077
44,-12.0,1.7142857,4.923077
45,-12.0,2.2857144,4.923077
46,-12.0,2.857143,4.923077
47,-12.0,3.4285715,4.923077
48,-12.0,4.0,4.923077
49,-12.0,0.0,4.3076925
50,-12.0,0.5714286,4.3076925
51,-12.0,1.1428572,4.3076925
52,-12.0,1.7142857,4.3076925
53,-12.0,2.2857144,4.3076925
54,-12.0,2.857143,4.3076925
55,-12.0,3.4285715,4.3076925
56,-12.0,4.0,4.3076925
57,-12.0,0.0,3.6923077
58,-12.0,0.5714286,3.6923077
59,-12.0,1.1428572,3.6923077
60,-12.0,1.7142857,3.6923077
61,-12.0,2.2857144,3.6923077
62,-12.0,2.857143,3.6923077
63,-12.0,3.4285715,3.6923077
64,-12.0,4.0,3.6923077
65,-12.0,0.0,3.0769231
66,-12.0,0.5714286,3.0769231
67,-12.0,1.1428572,3.0769231
68,-12.0,1.7142857,3.0769231
69,-12.0,2.2857144,3.0769231
70,-12.0,2.857143,3.0769231
71,-12.0,3.4285715,3.0769231
72,-12.0,4.0,3.0769231
73,-12.0,0.0,2.4615386
74,-12.0,0.5714286,2.4615386
75,-12.0,1.1428572,2.4615386
76,-12.0,1.7142857,2.4615386
77,-12.0,2.2857144,2.4615386
78,-12.0,2.857143,2.4615386
79,-12.0,3.4285715,2.4615386
80,-12.0,4.0,2.4615386
81,-12.0,0.0,1.8461539
82,-12.0,0.5714286,1.8461539
83,-12.0,1.1428572,1.8461539
84,-12.0,1.7142857,1.8461539
85,-12.0,2.2857144,1.8461539
86,-12.0,2.857143,1.8461539
87,-12.0,3.4285715,1.8461539
88,-12.0,4.0,1.8461539
89,-12.0,0.0,1.2307693
90,-12.0,0.5714286,1.2307693
91,-12.0,1.1428572,1.2307693
92,-12.0,1.7142857,1.2307693
93,-12.0,2.2857144,1.2307693
94,-12.0,2.857143,1.2307693
95,-12.0,3.4285715,1.2307693
96,-12.0,4.0,1.2307693
97,-12.0,0.0,0.61538464
98,-12.0,0.5714286,0.61538464
99,-12.0,1.1428572,0.61538464
100,-12.0,1.7142857,0.61538464
101,-12.0,2.2857144,0.61538464
102,-12.0,2.857143,0.61538464
103,-12.0,3.4285715,0.61538464
104,-12.0,4.0,0.61538464
105,-12.0,0.0,0.0
106,-12.0,0.5714286,0.0
107,-12.0,1.1428572,0.0
108,-12.0,1.7142857,0.0
109,-12.0,2.2857144,0.0
110,-12.0,2.857143,0.0
111,-12.0,3.4285715,0.0
112,-12.0,4.0,0.0
113,-11.4,0.0,8.0
114,-11.4,0.5714286,8.0
115,-11.4,1.1428572,8.0
116,-11.4,1.7142857,8.0
117,-11.4,2.2857144,8.0
118,-11.4,2.857143,8.0
119,-11.4,3.4285715,8.0
120,-11.4,4.0,8.0
121,-11.4,0.0,7.3846154
122,-11.4,0.5714286,7.3846154
123,-11.4,1.1428572,7.3846154
124,-11.4,1.7142857,7.3846154
125,-11.4,2.2857144,7.3846154
126,-11.4,2.857143,7.3846154
127,-11.4,3.4285715,7.3846154
128,-11.4,4.0,7.3846154
129,-11.4,0.0,6.769231
130,-11.4,0.5714286,6.769231
131,-11.4,1.1428572,6.769231
132,-11.4,1.7142857,6.769231
133,-11.4,2.2857144,6.769231
134,-11.4,2.857143,6.769231
135,-11.4,3.4285715,6.769231
136,-11.4,4.0,6.769231
137,-11.4,0.0,6.1538463
138,-11.4,0.5714286,6.1538463
139,-11.4,1.1428572,6.1538463
140,-11.4,1.7142857,6.1538463
141,-11.4,2.2857144,6.1538463
142,-11.4,2.857143,6.1538463
143,-11.4,3.4285715,6.1538463
144,-11.4,4.0,6.1538463
145,-11.4,0.0,5.5384617
146,-11.4,0.5714286,5.5384617
147,-11.4,1.1428572,5.5384617
148,-11.4,1.7142857,5.5384617
149,-11.4,2.2857144,5.5384617
150,-11.4,2.857143,5.5384617
151,-11.4,3.4285715,5.5384617
152,-11.4,4.0,5.5384617
153,-11.4,0.0,4.923077
154,-11.4,0.5714286,4.923077
155,-11.4,1.1428572,4.923077
156,-11.4,1.7142857,4.923077
157,-11.4,2.2857144,4.923077
158,-11.4,2.857143,4.923077
159,-11.4,3.4285715,4.923077
160,-11.4,4.0,4.923077
161,-11.4,0.0,4.3076925
162,-11.4,0.5714286,4.3076925
163,-11.4,1.1428572,4.3076925
164,-11.4,1.7142857,4.3076925
165,-11.4,2.2857144,4.3076925
166,-11.4,2.857143,4.3076925
167,-11.4,3.4285715,4.3076925
168,-11.4,4.0,4.3076925
169,-11.4,0.0,3.6923077
170,-11.4,0.5714286,3.6923077
171,-11.4,1.1428572,3.6923077
172,-11.4,1.7142857,3.6923077
173,-11.4,2.2857144,3.6923077
174,-11.4,2.857143,3.6923077
175,-11.4,3.4285715,3.6923077
176,-11.4,4.0,3.6923077
177,-11.4,0.0,3.0769231
178,-11.4,0.5714286,3.0769231
179,-11.4,1.1428572,3.0769231
180,-11.4,1.7142857,3.0769231
181,-11.4,2.2857144,3.0769231
182,-11.4,2.857143,3.0769231
183,-11.4,3.4285715,3.0769231
184,-11.4,4.0,3.0769231
185,-11.4,0.0,2.4615386
186,-11.4,0.5714286,2.4615386
187,-11.4,1.1428572,2.4615386
