NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.029896768,0.0507881,0.00021617646
2,-12.0,0.5714286,8.0,-0.025627801,0.05403385,2.9525513e-06
3,-12.0,1.1428572,8.0,-0.011111353,0.05125901,-0.000107767024
4,-12.0,1.7142857,8.0,-0.00674823,0.05337891,-2.3228666e-05
5,-12.0,2.2857144,8.0,0.007946667,0.052043565,-0.0002081228
6,-12.0,2.857143,8.0,0.012526779,0.052807126,-0.00011487223
7,-12.0,3.4285715,8.0,0.02750211,0.052717388,-0.00018962842
8,-12.0,4.0,8.0,0.032131717,0.05216887,-0.00037071202
9,-12.0,0.0,7.3846154,-0.029709455,0.050570816,-2.7400072e-05
10,-12.0,0.5714286,7.3846154,-0.02553111,0.054086853,3.928166e-05
11,-12.0,1.1428572,7.3846154,-0.010737628,0.05112643,1.7066905e-05
12,-12.0,1.7142857,7.3846154,-0.006703246,0.05335886,-7.4354764e-05
13,-12.0,2.2857144,7.3846154,0.008287358,0.0519697,-5.2514275e-05
14,-12.0,2.857143,7.3846154,0.012583383,0.052751724,-0.0001284424
15,-12.0,3.4285715,7.3846154,0.027718246,0.05265825,-0.00011278002
16,-12.0,4.0,7.3846154,0.032239385,0.05214751,-3.3275872e-05
17,-12.0,0.0,6.769231,-0.02930576,0.050505526,0.00015161323
18,-12.0,0.5714286,6.769231,-0.02547377,0.054072402,6.982367e-05
19,-12.0,1.1428572,6.769231,-0.010509236,0.051042758,3.902481e-05
20,-12.0,1.7142857,6.769231,-0.0066216914,0.05331292,2.464187e-05
21,-12.0,2.2857144,6.769231,0.008511737,0.051897246,-3.072439e-05
22,-12.0,2.857143,6.769231,0.012604555,0.052643962,-3.9945968e-05
23,-12.0,3.4285715,6.769231,0.027970593,0.05261908,-0.00012927907
24,-12.0,4.0,6.769231,0.032177947,0.051996782,-0.0002859545
25,-12.0,0.0,6.1538463,-0.029319204,0.050505646,0.00012073989
26,-12.0,0.5714286,6.1538463,-0.025391225,0.05397359,0.00011164936
27,-12.0,1.1428572,6.1538463,-0.010400876,0.051050067,8.161386e-05
28,-12.0,1.7142857,6.1538463,-0.0065739457,0.053217575,5.2754516e-05
29,-12.0,2.2857144,6.1538463,0.008605844,0.051866155,2.7811824e-05
30,-12.0,2.857143,6.1538463,0.012674057,0.05255692,-2.5346366e-05
31,-12.0,3.4285715,6.1538463,0.028027315,0.05256193,-1.3060449e-05
32,-12.0,4.0,6.1538463,0.0323058,0.05193013,9.751656e-06
33,-12.0,0.0,5.5384617,-0.02922489,0.050480384,0.00011118043
34,-12.0,0.5714286,5.5384617,-0.025352187,0.053989623,9.9735254e-05
35,-12.0,1.1428572,5.5384617,-0.010397791,0.05098308,9.2752714e-05
36,-12.0,1.7142857,5.5384617,-0.0065151737,0.053202473,5.7206194e-05
37,-12.0,2.2857144,5.5384617,0.00861881,0.051805217,3.7407142e-05
38,-12.0,2.857143,5.5384617,0.01271964,0.05251862,2.008267e-05
39,-12.0,3.4285715,5.5384617,0.028059902,0.052494563,-5.2783984e-05
40,-12.0,4.0,5.5384617,0.03229277,0.05186868,-0.00015275773
41,-12.0,0.0,4.923077,-0.02926381,0.0504651,9.826727e-05
42,-12.0,0.5714286,4.923077,-0.025329221,0.05396055,7.593522e-05
43,-12.0,1.1428572,4.923077,-0.010379332,0.050970312,5.2399413e-05
44,-12.0,1.7142857,4.923077,-0.0065061115,0.053178567,5.2475574e-05
45,-12.0,2.2857144,4.923077,0.008631797,0.051770218,3.1287862e-05
46,-12.0,2.857143,4.923077,0.01273434,0.052492693,7.511158e-06
47,-12.0,3.4285715,4.923077,0.02805202,0.052446608,3.8347647e-05
48,-12.0,4.0,4.923077,0.032325774,0.05183737,6.6470435e-05
49,-12.0,0.0,4.3076925,-0.029245196,0.050463095,1.1024465e-05
50,-12.0,0.5714286,4.3076925,-0.025323171,0.053962104,2.4961448e-05
51,-12.0,1.1428572,4.3076925,-0.01039192,0.050954733,3.503474e-05
52,-12.0,1.7142857,4.3076925,-0.006496871,0.05316856,1.3562724e-05
53,-12.0,2.2857144,4.3076925,0.008618772,0.051754836,1.698176e-05
54,-12.0,2.857143,4.3076925,0.012736918,0.052476335,1.683375e-05
55,-12.0,3.4285715,4.3076925,0.028040558,0.052424975,-3.366022e-05
56,-12.0,4.0,4.3076925,0.03230451,0.05181376,-9.062019e-05
57,-12.0,0.0,3.6923077,-0.029260151,0.05046251,6.5855033e-07
58,-12.0,0.5714286,3.6923077,-0.025338667,0.05396213,-1.3991193e-05
59,-12.0,1.1428572,3.6923077,-0.01040683,0.050954245,-2.507646e-05
60,-12.0,1.7142857,3.6923077,-0.006512356,0.053168487,-4.1992353e-06
61,-12.0,2.2857144,3.6923077,0.008603823,0.051754452,-8.589175e-06
62,-12.0,2.857143,3.6923077,0.012721405,0.052476164,-9.044616e-06
63,-12.0,3.4285715,3.6923077,0.028025584,0.052424677,4.044616e-05
64,-12.0,4.0,3.6923077,0.032288995,0.051813513,9.6682714e-05
65,-12.0,0.0,3.0769231,-0.029308455,0.050463386,-8.6648724e-05
66,-12.0,0.5714286,3.0769231,-0.025375564,0.05396063,-6.4944856e-05
67,-12.0,1.1428572,3.0769231,-0.010424085,0.050968867,-4.2455325e-05
68,-12.0,1.7142857,3.0769231,-0.0065525747,0.053178344,-4.3088978e-05
69,-12.0,2.2857144,3.0769231,0.008586964,0.051769067,-2.2920485e-05
70,-12.0,2.857143,3.0769231,0.012687794,0.052492183,2.995975e-07
71,-12.0,3.4285715,3.0769231,0.02800707,0.0524457,-3.1588846e-05
72,-12.0,4.0,3.0769231,0.032279108,0.05183663,-6.0372542e-05
73,-12.0,0.0,2.4615386,-0.029299444,0.05047755,-9.951378e-05
74,-12.0,0.5714286,2.4615386,-0.025429517,0.053989757,-8.869597e-05
75,-12.0,1.1428572,2.4615386,-0.010472383,0.0509807,-8.28361e-05
76,-12.0,1.7142857,2.4615386,-0.006592591,0.053202096,-4.778802e-05
77,-12.0,2.2857144,2.4615386,0.008544072,0.051803336,-2.9065677e-05
78,-12.0,2.857143,2.4615386,0.012642087,0.052517764,-1.2255958e-05
79,-12.0,3.4285715,2.4615386,0.027985005,0.052493088,5.951028e-05
80,-12.0,4.0,2.4615386,0.0322151,0.051867448,0.0001588581
81,-12.0,0.0,1.8461539,-0.029423486,0.05050171,-0.00010915338
82,-12.0,0.5714286,1.8461539,-0.02549945,0.05397379,-0.00010062455
83,-12.0,1.1428572,1.8461539,-0.010505276,0.051046778,-7.1673596e-05
84,-12.0,1.7142857,1.8461539,-0.006682382,0.05321707,-4.3336193e-05
85,-12.0,2.2857144,1.8461539,0.008501267,0.051863547,-1.9474337e-05
86,-12.0,2.857143,1.8461539,0.012565454,0.052555747,3.31644e-05
87,-12.0,3.4285715,1.8461539,0.027922496,0.052559894,1.9777312e-05
88,-12.0,4.0,1.8461539,0.032196976,0.051928412,-3.622105e-06
89,-12.0,0.0,1.2307693,-0.0294397,0.050500184,-0.00013999015
90,-12.0,0.5714286,1.2307693,-0.025613211,0.054072995,-5.874002e-05
91,-12.0,1.1428572,1.2307693,-0.010643291,0.05103833,-2.9089006e-05
92,-12.0,1.7142857,1.2307693,-0.006761282,0.053312488,-1.5212878e-05
93,-12.0,2.2857144,1.2307693,0.008377473,0.051893827,3.9057653e-05
94,-12.0,2.857143,1.2307693,0.012464763,0.05264256,4.7752786e-05
95,-12.0,3.4285715,1.2307693,0.027836077,0.0526165,0.00013597515
96,-12.0,4.0,1.2307693,0.032037955,0.051994596,0.0002920467
97,-12.0,0.0,0.61538464,-0.029873217,0.050564177,3.9130562e-05
98,-12.0,0.5714286,0.61538464,-0.025701497,0.05408779,-2.8258151e-05
99,-12.0,1.1428572,0.61538464,-0.010901448,0.051120967,-7.1208538e-06
100,-12.0,1.7142857,0.61538464,-0.006873898,0.05335849,8.380206e-05
101,-12.0,2.2857144,0.61538464,0.008123306,0.051965494,6.0837137e-05
102,-12.0,2.857143,0.61538464,0.012412554,0.052750163,0.00013625128
103,-12.0,3.4285715,0.61538464,0.027553877,0.05265507,0.00011946458
104,-12.0,4.0,0.61538464,0.032068297,0.052145,3.94111e-05
105,-12.0,0.0,0.0,-0.030090714,0.05078087,-0.00020478599
106,-12.0,0.5714286,0.0,-0.02582884,0.05403456,8.198296e-06
107,-12.0,1.1428572,0.0,-0.011305443,0.051252954,0.00011778316
108,-12.0,1.7142857,0.0,-0.006949431,0.05337834,3.260169e-05
109,-12.0,2.2857144,0.0,0.007752366,0.05203881,0.00021651325
110,-12.0,2.857143,0.0,0.012325356,0.0528053,0.00012263843
111,-12.0,3.4285715,0.0,0.02730753,0.052713733,0.00019633758
112,-12.0,4.0,0.0,0.031930074,0.052166004,0.0003767828
113,-11.4,0.0,8.0,-0.034907646,0.04442182,9.124159e-05
114,-11.4,0.5714286,8.0,-0.020867167,0.041046854,0.00022133609
115,-11.4,1.1428572,8.0,-0.016043482,0.04376483,0.00023124577
116,-11.4,1.7142857,8.0,-0.0019806053,0.041620992,3.9928866e-05
117,-11.4,2.2857144,8.0,0.0029718275,0.04297066,0.0001387484
118,-11.4,2.857143,8.0,0.017312165,0.042251054,-1.37697e-05
119,-11.4,3.4285715,8.0,0.022515954,0.042270754,-9.780366e-06
120,-11.4,4.0,8.0,0.03698907,0.04268459,0.00011118036
121,-11.4,0.0,7.3846154,-0.034731757,0.044562206,0.0003533543
122,-11.4,0.5714286,7.3846154,-0.020550823,0.040878013,0.0002100418
123,-11.4,1.1428572,7.3846154,-0.015943576,0.04378623,0.00015849173
124,-11.4,1.7142857,7.3846154,-0.0016525459,0.041521233,0.00016494472
125,-11.4,2.2857144,7.3846154,0.0030641735,0.04292453,6.672668e-05
126,-11.4,2.857143,7.3846154,0.017583476,0.042189643,6.3327156e-05
127,-11.4,3.4285715,7.3846154,0.02256988,0.04220005,-3.6150726e-05
128,-11.4,4.0,7.3846154,0.037182633,0.0426003,-0.00023033953
129,-11.4,0.0,6.769231,-0.03470502,0.044513647,0.00020397769
130,-11.4,0.5714286,6.769231,-0.02028807,0.040802255,0.00021582188
131,-11.4,1.1428572,6.769231,-0.015862012,0.043764412,0.00018737798
132,-11.4,1.7142857,6.769231,-0.0014167057,0.041445024,0.00013420473
133,-11.4,2.2857144,6.769231,0.0031125767,0.042852264,0.00011214422
134,-11.4,2.857143,6.769231,0.017810948,0.04213802,3.8885588e-05
135,-11.4,3.4285715,6.769231,0.022579012,0.042081986,3.7296322e-05
136,-11.4,4.0,6.769231,0.037441347,0.04259256,7.259354e-05
137,-11.4,0.0,6.1538463,-0.034584202,0.044465665,0.00021792717
138,-11.4,0.5714286,6.1538463,-0.020205123,0.04082055,0.00019018349
139,-11.4,1.1428572,6.1538463,-0.015808355,0.04366638,0.00016496665
140,-11.4,1.7142857,6.1538463,-0.0013300362,0.0414343,0.0001334041
141,-11.4,2.2857144,6.1538463,0.0031755269,0.04276389,8.9774534e-05
142,-11.4,2.857143,6.1538463,0.017885318,0.0420955,7.066481e-05
143,-11.4,3.4285715,6.1538463,0.022656493,0.04199728,-2.5794254e-05
144,-11.4,4.0,6.1538463,0.03748349,0.042524524,-0.00014712017
145,-11.4,0.0,5.5384617,-0.034584995,0.044453196,0.00017886763
146,-11.4,0.5714286,5.5384617,-0.020186488,0.04075716,0.00015428617
147,-11.4,1.1428572,5.5384617,-0.01575909,0.04366754,0.00012227938
148,-11.4,1.7142857,5.5384617,-0.0013166994,0.04137362,0.000109662884
149,-11.4,2.2857144,5.5384617,0.0032203067,0.042738225,7.8531826e-05
150,-11.4,2.857143,5.5384617,0.017910577,0.042034935,3.7036512e-05
151,-11.4,3.4285715,5.5384617,0.022686623,0.041960523,5.405721e-05
152,-11.4,4.0,5.5384617,0.03751967,0.04246732,7.2519484e-05
153,-11.4,0.0,4.923077,-0.03453662,0.044454694,7.935462e-05
154,-11.4,0.5714286,4.923077,-0.020178234,0.04075591,9.2301576e-05
155,-11.4,1.1428572,4.923077,-0.01574686,0.04364197,8.930645e-05
156,-11.4,1.7142857,4.923077,-0.0013068081,0.041349083,6.0836683e-05
157,-11.4,2.2857144,4.923077,0.0032362952,0.042717632,4.71305e-05
158,-11.4,2.857143,4.923077,0.017912114,0.041998494,3.9586583e-05
159,-11.4,3.4285715,4.923077,0.022702923,0.04193517,-3.1041378e-05
160,-11.4,4.0,4.923077,0.037493043,0.042420886,-0.00010099822
161,-11.4,0.0,4.3076925,-0.034543477,0.04444637,5.5237353e-05
162,-11.4,0.5714286,4.3076925,-0.020184346,0.040741537,2.8778633e-05
163,-11.4,1.1428572,4.3076925,-0.015739214,0.04363849,1.2402974e-05
164,-11.4,1.7142857,4.3076925,-0.001317569,0.041336417,2.1629608e-05
165,-11.4,2.2857144,4.3076925,0.003239174,0.0427062,9.056647e-06
166,-11.4,2.857143,4.3076925,0.017901521,0.041983146,-5.9616937e-06
167,-11.4,3.4285715,4.3076925,0.022697248,0.04192177,3.610143e-05
168,-11.4,4.0,4.3076925,0.037481803,0.042402573,7.160052e-05
169,-11.4,0.0,3.6923077,-0.034558825,0.04444647,-7.30278e-05
170,-11.4,0.5714286,3.6923077,-0.020199267,0.04074101,-4.7598245e-05
171,-11.4,1.1428572,3.6923077,-0.015754651,0.043638483,-3.1896434e-05
172,-11.4,1.7142857,3.6923077,-0.0013325391,0.041335996,-4.2094973e-05
173,-11.4,2.2857144,3.6923077,0.003223713,0.042706084,-3.0160867e-05
174,-11.4,2.857143,3.6923077,0.017886521,0.041982826,-1.6106398e-05
175,-11.4,3.4285715,3.6923077,0.022681741,0.04192157,-5.886206e-05
176,-11.4,4.0,3.6923077,0.037466746,0.042402327,-9.54089e-05
