ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,7.52971e-06,-1.288435e-06,-1.7528815e-05,-2.8435945e-05,-4.7835874e-05,3.3348645e-06
2,1,-1.9208876e-05,9.597188e-05,-3.1195632e-05,-0.00014878834,5.895033e-07,9.741209e-06
3,1,-4.981598e-06,0.00010452193,-5.112462e-05,6.450563e-05,-1.9230429e-05,4.4205294e-06
4,1,-7.0983506e-06,0.00016065364,-6.39097e-05,-0.00016594285,-8.894218e-06,2.071054e-05
5,1,-3.8200713e-05,0.00017610072,-5.9713817e-05,0.00015745555,5.5661735e-06,3.0467732e-05
6,1,7.886104e-06,8.843762e-05,-4.6286124e-05,0.00012043752,-1.5764017e-05,2.828808e-05
7,1,-5.984939e-07,3.2718093e-05,-1.8761966e-05,8.783512e-05,-8.107246e-06,1.5296808e-05
8,1,2.199286e-05,-8.62583e-06,-2.6847334e-05,-1.6538399e-05,6.242422e-06,1.3879038e-05
9,1,-1.6976595e-05,9.164341e-05,-3.5366313e-05,-0.00015464175,-4.561809e-06,1.6964277e-05
10,1,1.2426206e-06,9.278985e-05,-4.837731e-05,6.8160996e-05,9.7810025e-06,2.1659824e-05
11,1,-1.09067e-06,0.00015081545,-5.498886e-05,-0.00019313137,1.29508935e-05,3.6997226e-05
12,1,-4.014057e-05,0.0001701426,-5.3300682e-05,0.00013350345,8.140074e-06,4.926722e-05
13,1,1.4671855e-05,8.333626e-05,-4.9132377e-05,8.414281e-05,4.6090195e-06,4.8521717e-05
14,1,-3.629338e-07,4.2441876e-05,-4.355434e-05,6.888628e-05,-1.9867986e-05,2.1856375e-05
15,1,6.510222e-06,-1.2854758e-05,2.8671644e-07,-2.9377352e-05,4.419366e-05,3.6580868e-06
16,1,-1.5272446e-05,8.041692e-05,-1.4731561e-05,-0.00015524059,5.587951e-05,1.7215772e-05
17,1,-2.3074647e-06,7.865574e-05,-1.9302175e-05,6.40466e-05,5.410973e-05,2.2019403e-05
18,1,-6.8878794e-06,0.00013492137,-2.5763262e-05,-0.00020370503,4.461347e-05,2.5715073e-05
19,1,-3.877133e-05,0.00015904286,-3.352975e-05,0.00013554087,3.4311404e-05,3.145488e-05
20,1,1.0002743e-05,7.892665e-05,-4.041233e-05,8.311528e-05,2.2061367e-05,3.166109e-05
21,1,4.4393596e-06,4.4881806e-05,-5.2415617e-05,7.114658e-05,2.2692848e-05,1.4073782e-05
22,1,1.4474388e-05,-3.1191135e-05,3.9160568e-05,-1.8218945e-05,6.218193e-05,1.6995153e-06
