ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.25140238,-0.08744123,-0.22654662,-0.12792757,-0.21526906,0.011606337
2,1,-0.5365712,1.1250958,0.035626914,-0.6699833,0.0026319406,0.03410227
3,1,0.079348624,1.211278,-0.123057485,0.289889,-0.08654748,0.015445587
4,1,0.24200912,1.9589534,0.034736343,-0.74738276,-0.04006952,0.07248167
5,1,-1.1499162,2.0323138,0.010499518,0.7077731,0.02499233,0.10664377
6,1,0.632992,1.0784148,-0.07680239,0.5416583,-0.070994735,0.098983996
7,1,0.05353569,0.36736545,-0.074199155,0.3951359,-0.03651096,0.053526156
8,1,0.8505525,-0.17088316,-0.3270137,-0.07431073,0.028062753,0.048586227
9,1,-0.4796438,1.0464746,-0.04161859,-0.6963,-0.020562306,0.059373125
10,1,0.3262853,1.0901244,-0.120115526,0.3064027,0.04397385,0.07582304
11,1,0.527586,1.9047543,0.14142853,-0.86967105,0.0582028,0.12951675
12,1,-1.2405943,1.9724193,0.056729436,0.6000051,0.03654179,0.17244783
13,1,0.9140515,1.0240256,-0.11172789,0.37837854,0.020644061,0.16983369
14,1,-0.025446676,0.35466576,-0.38268393,0.30983132,-0.08944709,0.076469354
15,1,0.23974183,-0.15233044,-0.039592568,-0.13212731,0.1988648,0.012864088
16,1,-0.34056145,1.0213132,0.20631556,-0.6989464,0.2514242,0.06034021
17,1,0.24457653,1.04416,0.20429772,0.28792524,0.2434546,0.07714229
18,1,0.32761317,1.8197491,0.44320104,-0.91721493,0.20070845,0.090073764
19,1,-1.1221957,1.9415731,0.29048106,0.60921866,0.15434556,0.11014121
20,1,0.7141706,0.9859794,-0.03723139,0.3737523,0.09921369,0.11084807
21,1,0.16815855,0.36299163,-0.47123533,0.32001078,0.10209091,0.04929134
22,1,0.74841017,-0.12877709,0.4742955,-0.08182018,0.27981615,0.0060334723
23,1,-0.7095368,1.0636723,0.7596639,-0.7152717,0.2565496,0.014057108
24,1,0.11399964,1.0972477,0.69504416,0.27634203,0.22958729,0.032289263
25,1,0.34592542,1.8675257,0.87508625,-0.8683018,0.20032679,0.044783436
26,1,-1.3029593,1.9473021,0.6320586,0.60980797,0.1645124,0.060019877
27,1,0.8321889,0.99966747,0.20904332,0.3869266,0.1375834,0.07090276
28,1,-0.14619748,0.350181,-0.34532884,0.3233738,0.14096375,0.039075226
29,1,0.067904204,-0.1428203,0.91363746,-0.15131353,0.14878757,-0.0077084005
30,1,-0.48926723,1.1098007,1.183177,-0.7186755,0.14223856,-0.0041470947
31,1,0.15068892,1.1539323,1.0911994,0.30979142,0.14532785,0.005068
32,1,0.27137414,1.9083418,1.2277658,-0.87002957,0.12993017,0.015387383
33,1,-1.191116,1.9762022,0.9331855,0.64290476,0.11258302,0.028662998
34,1,0.68072397,1.0074964,0.47334552,0.39405635,0.1127119,0.045864515
35,1,0.12970906,0.368233,-0.0950958,0.32186633,0.14696138,0.025580924
36,1,0.78625286,-0.105895504,1.1175336,-0.08807787,0.06323534,-0.000883219
37,1,-0.66817874,1.1134181,1.4134542,-0.708269,0.07276474,-0.004803776
38,1,0.12253867,1.169407,1.3170755,0.28623682,0.06816517,-0.0027351538
39,1,0.3272645,1.936449,1.4353404,-0.8386424,0.06539481,0.0032173807
40,1,-1.2744604,1.9871974,1.1315426,0.6387971,0.0636903,0.012459875
41,1,0.79921144,1.0174975,0.6671504,0.40135095,0.06192818,0.021686051
