NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.031745423,0.054939706,0.00012992467
2,-12.0,0.5714286,8.0,-0.02675973,0.058064725,-6.917875e-05
3,-12.0,1.1428572,8.0,-0.011932049,0.055373892,-0.00016982129
4,-12.0,1.7142857,8.0,-0.006850716,0.057419226,-8.1672515e-05
5,-12.0,2.2857144,8.0,0.008169145,0.056112617,-0.00024905204
6,-12.0,2.857143,8.0,0.013462985,0.05683909,-0.00014884555
7,-12.0,3.4285715,8.0,0.0287316,0.05672608,-0.00021371218
8,-12.0,4.0,8.0,0.03405506,0.056191098,-0.00037543548
9,-12.0,0.0,7.3846154,-0.0315754,0.054751,-0.000106603606
10,-12.0,0.5714286,7.3846154,-0.026668293,0.058115344,-3.3605556e-05
11,-12.0,1.1428572,7.3846154,-0.011570095,0.055263266,-4.8301947e-05
12,-12.0,1.7142857,7.3846154,-0.006807453,0.057402205,-0.00012930794
13,-12.0,2.2857144,7.3846154,0.008499261,0.05605911,-0.00010014481
14,-12.0,2.857143,7.3846154,0.013517956,0.05678847,-0.000165376
15,-12.0,3.4285715,7.3846154,0.028941147,0.056685176,-0.00014383924
16,-12.0,4.0,7.3846154,0.03416439,0.056173332,-6.2193285e-05
17,-12.0,0.0,6.769231,-0.031176498,0.054726392,6.506014e-05
18,-12.0,0.5714286,6.769231,-0.026610067,0.05808234,-4.7030526e-06
19,-12.0,1.1428572,6.769231,-0.011349518,0.055221308,-2.7154447e-05
20,-12.0,1.7142857,6.769231,-0.0067247283,0.05734248,-3.3433895e-05
21,-12.0,2.2857144,6.769231,0.008718106,0.05602341,-8.0193255e-05
22,-12.0,2.857143,6.769231,0.013542408,0.0566728,-8.1933846e-05
23,-12.0,3.4285715,6.769231,0.029187314,0.056679875,-0.00015721876
24,-12.0,4.0,6.769231,0.034105178,0.056018773,-0.00029629728
25,-12.0,0.0,6.1538463,-0.031186575,0.054775313,4.0924977e-05
26,-12.0,0.5714286,6.1538463,-0.026525702,0.05795787,3.985881e-05
27,-12.0,1.1428572,6.1538463,-0.011236935,0.05527358,1.6466593e-05
28,-12.0,1.7142857,6.1538463,-0.00667514,0.05722688,-4.5677803e-06
29,-12.0,2.2857144,6.1538463,0.008814671,0.056035645,-2.2634713e-05
30,-12.0,2.857143,6.1538463,0.013612041,0.056569237,-6.705915e-05
31,-12.0,3.4285715,6.1538463,0.029245969,0.056662392,-5.070197e-05
32,-12.0,4.0,6.1538463,0.034232203,0.055938885,-2.357915e-05
33,-12.0,0.0,5.5384617,-0.031086871,0.05478092,3.881118e-05
34,-12.0,0.5714286,5.5384617,-0.026483215,0.0579589,3.4189048e-05
35,-12.0,1.1428572,5.5384617,-0.011231204,0.055238307,3.320861e-05
36,-12.0,1.7142857,5.5384617,-0.006614554,0.057201333,3.2754651e-06
37,-12.0,2.2857144,5.5384617,0.0088297175,0.05600392,-1.1191776e-05
38,-12.0,2.857143,5.5384617,0.013658902,0.05652391,-2.3495852e-05
39,-12.0,3.4285715,5.5384617,0.029279089,0.056622587,-8.538603e-05
40,-12.0,4.0,5.5384617,0.034220453,0.055873405,-0.00017297635
41,-12.0,0.0,4.923077,-0.03112776,0.05477686,3.8710517e-05
42,-12.0,0.5714286,4.923077,-0.02645824,0.057932775,1.9830113e-05
43,-12.0,1.1428572,4.923077,-0.011213662,0.055235844,-2.8149984e-07
44,-12.0,1.7142857,4.923077,-0.0066026864,0.05718168,2.5834079e-06
45,-12.0,2.2857144,4.923077,0.0088415975,0.05597919,-1.4679818e-05
46,-12.0,2.857143,4.923077,0.013676073,0.056503613,-3.4548837e-05
47,-12.0,3.4285715,4.923077,0.029270753,0.056583922,-3.966295e-06
48,-12.0,4.0,4.923077,0.03425556,0.055848263,2.4974537e-05
49,-12.0,0.0,4.3076925,-0.031109469,0.054777324,-3.8302893e-05
50,-12.0,0.5714286,4.3076925,-0.026450336,0.05793839,-2.2578773e-05
51,-12.0,1.1428572,4.3076925,-0.0112269,0.05522348,-1.0964885e-05
52,-12.0,1.7142857,4.3076925,-0.0065917005,0.05717635,-3.101508e-05
53,-12.0,2.2857144,4.3076925,0.008828162,0.05596695,-2.6745629e-05
54,-12.0,2.857143,4.3076925,0.01368053,0.0564922,-2.6128315e-05
55,-12.0,3.4285715,4.3076925,0.029258566,0.056565624,-7.06828e-05
56,-12.0,4.0,4.3076925,0.034236398,0.055829734,-0.00012223702
57,-12.0,0.0,3.6923077,-0.031124165,0.05477699,-3.4854398e-05
58,-12.0,0.5714286,3.6923077,-0.026465343,0.057938404,-5.120643e-05
59,-12.0,1.1428572,3.6923077,-0.011241529,0.055223197,-6.361605e-05
60,-12.0,1.7142857,3.6923077,-0.006606684,0.057176303,-4.4118406e-05
61,-12.0,2.2857144,3.6923077,0.008813508,0.055966724,-4.915906e-05
62,-12.0,2.857143,3.6923077,0.013665529,0.056492094,-5.033804e-05
63,-12.0,3.4285715,3.6923077,0.029243903,0.056565452,-6.5770287e-06
