ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,8.434205e-06,-6.8781213e-07,-1.7466631e-05,-3.053674e-05,-4.5221543e-05,2.4090139e-06
2,1,-2.0602422e-05,9.655184e-05,-3.1261483e-05,-0.00015083102,1.3513569e-06,6.909162e-06
3,1,-6.459713e-06,0.0001070196,-5.1096195e-05,5.8210695e-05,-1.7466136e-05,1.7314603e-06
4,1,-9.082685e-06,0.00015704408,-6.186426e-05,-0.0001465594,-8.118223e-06,1.889114e-05
5,1,-3.8542345e-05,0.0001640003,-5.5531968e-05,0.00015999665,4.404106e-06,2.783637e-05
6,1,9.191801e-06,7.7993594e-05,-4.2380667e-05,0.00010650843,-1.5703481e-05,2.514671e-05
7,1,-1.1931944e-06,2.9638752e-05,-1.6968506e-05,7.853567e-05,-7.891639e-06,1.3971584e-05
8,1,2.3281578e-05,-7.0317915e-06,-2.8357155e-05,-1.8444738e-05,2.8564339e-06,1.1853485e-05
9,1,-1.8615296e-05,9.294846e-05,-3.6310066e-05,-0.00015456608,-6.366527e-06,1.2086185e-05
10,1,-2.9179756e-07,9.628729e-05,-4.851549e-05,6.3305226e-05,7.932222e-06,1.5992768e-05
11,1,-3.0044464e-06,0.00014762675,-5.3735315e-05,-0.0001719595,1.0420927e-05,3.1442032e-05
12,1,-4.0309395e-05,0.00015852081,-5.0657593e-05,0.0001375463,5.9890567e-06,4.3297518e-05
13,1,1.6431886e-05,7.276766e-05,-4.5745564e-05,7.231639e-05,2.5688348e-06,4.2865955e-05
14,1,-9.2574027e-07,3.893222e-05,-4.0125837e-05,6.0881426e-05,-1.9323472e-05,1.9359592e-05
15,1,7.878028e-06,-8.710415e-06,-6.6210514e-06,-3.0887826e-05,3.651633e-05,2.2820345e-06
16,1,-1.617575e-05,8.277528e-05,-1.986725e-05,-0.00015496847,4.850439e-05,1.31521365e-05
17,1,-3.357481e-06,8.315644e-05,-2.2639311e-05,5.9954564e-05,4.8092694e-05,1.6059112e-05
