ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.23868248,-0.1037801,-0.235121,-0.11582032,-0.22663113,0.014818638
2,1,-0.565404,1.1083791,0.035679825,-0.6539518,-0.00078612234,0.043316897
3,1,0.11147364,1.1614099,-0.13625003,0.31308904,-0.09480977,0.023148833
4,1,0.3003047,1.9964452,0.031291828,-0.84231925,-0.042892717,0.076161444
5,1,-1.2636546,2.1826556,0.020915944,0.68902403,0.030204194,0.11350925
6,1,0.64315486,1.2043563,-0.07748948,0.60514945,-0.07001921,0.10906851
7,1,0.087095864,0.40553585,-0.07844333,0.43859524,-0.037137933,0.057947412
8,1,0.88764256,-0.1959609,-0.3210596,-0.063073285,0.04256178,0.055158004
9,1,-0.4857195,1.0271989,-0.031880684,-0.68892246,-0.012134789,0.0745133
10,1,0.38395274,1.0238131,-0.13882518,0.3236391,0.05202926,0.09195815
11,1,0.61009,1.9422253,0.14693987,-0.97012967,0.06999383,0.14390635
12,1,-1.3628597,2.1245222,0.087955326,0.57543075,0.046220865,0.18887076
13,1,0.9354663,1.1568877,-0.10212916,0.43366536,0.03078049,0.18713087
14,1,0.0020522447,0.38887784,-0.4051148,0.34806544,-0.090992995,0.0846134
15,1,0.22158024,-0.18187013,0.025384484,-0.12232204,0.23133095,0.016966205
16,1,-0.35537642,1.0087026,0.2633182,-0.69186664,0.28234908,0.07229495
17,1,0.27581307,0.98070115,0.22008385,0.3020927,0.26934943,0.09423327
18,1,0.3827348,1.8670913,0.4830896,-1.0215255,0.22184575,0.10929877
19,1,-1.2387007,2.0895638,0.3468142,0.5824395,0.16826257,0.12862988
20,1,0.7148426,1.124324,-0.011713451,0.42990413,0.10816041,0.12628587
21,1,0.20595802,0.39608726,-0.5033446,0.36029482,0.10783541,0.056086637
22,1,0.7564942,-0.15860341,0.6010924,-0.071238995,0.2992756,0.009752642
23,1,-0.75193024,1.0600293,0.8715874,-0.7100955,0.27183217,0.02521251
24,1,0.14209692,1.0398268,0.75324965,0.28980178,0.24250391,0.04778303
25,1,0.40638664,1.9221092,0.94779885,-0.97074825,0.21056953,0.061396413
26,1,-1.4332962,2.09813,0.70913744,0.58350027,0.17231832,0.07660605
27,1,0.8472016,1.1402308,0.24443586,0.44238624,0.14269778,0.084835336
28,1,-0.12770708,0.38109684,-0.38488963,0.36338508,0.14288701,0.044731658
29,1,0.04979041,-0.17171371,1.0732733,-0.1432926,0.15338519,-0.003768764
30,1,-0.50022084,1.1065896,1.320946,-0.7152747,0.14677823,0.0051956987
31,1,0.18552618,1.0977594,1.1697541,0.3231388,0.15026744,0.016870568
32,1,0.3314548,1.9643563,1.3160063,-0.97466755,0.13434972,0.028499126
33,1,-1.3063607,2.1272097,1.0204759,0.61668634,0.11589862,0.04099976
34,1,0.68390626,1.147297,0.51176006,0.44886237,0.11502941,0.055727344
35,1,0.17066248,0.40006688,-0.13884361,0.3613796,0.14952789,0.02969376
36,1,0.8097753,-0.13651855,1.292595,-0.07853393,0.06695503,0.0014611363
37,1,-0.70144856,1.1089242,1.561953,-0.7061213,0.076393604,0.0007484554
38,1,0.15689228,1.113109,1.405364,0.29766405,0.07126094,0.0038477997
39,1,0.39092547,1.9920453,1.5309058,-0.9435552,0.06808597,0.010024583
40,1,-1.4021146,2.1379414,1.2232596,0.61220694,0.06580012,0.01895471
41,1,0.8167627,1.1569908,0.70641583,0.45544672,0.063250646,0.026865114
42,1,-0.19112016,0.37956297,0.022784682,0.36627588,0.07976654,0.0157575
43,1,0.07625437,-0.1741358,1.3679675,-0.14657396,-0.00012975503,8.039452e-05
44,1,-0.50694054,1.1174955,1.6359808,-0.7230771,-4.0010193e-05,0.00019525361
45,1,0.18061955,1.1250391,1.4813334,0.3227963,-3.3812405e-05,0.0002722207
46,1,0.330682,1.9954706,1.6077361,-0.9589477,-1.799239e-05,0.0002933943
47,1,-1.320811,2.1447122,1.2923188,0.626195,2.1109154e-05,0.00030644587
48,1,0.6792093,1.1560825,0.77413607,0.4546722,4.6285797e-05,0.00023353766
49,1,0.15940952,0.40229928,0.11093116,0.3617873,0.000108704255,0.00011038943
50,1,0.8099215,-0.13659835,1.2925521,-0.07850153,-0.067057654,-0.0012898627
51,1,-0.70149183,1.1089767,1.5619411,-0.70618796,-0.07651203,-0.0003715319
52,1,0.15684396,1.1130382,1.4053115,0.29774106,-0.07132608,-0.0033228963
53,1,0.39106825,1.9920285,1.5309105,-0.94364756,-0.06811368,-0.009446964
54,1,-1.4022849,2.1379123,1.2232623,0.6122314,-0.065760575,-0.018365849
55,1,0.81689465,1.1569726,0.70644975,0.45541763,-0.06315624,-0.026401762
56,1,-0.1911879,0.3795554,0.022781998,0.36626294,-0.079562105,-0.015548117
57,1,0.04961856,-0.1718838,1.0732033,-0.14327239,-0.1536208,0.003898469
58,1,-0.50022197,1.1066865,1.3209158,-0.7154199,-0.14684704,-0.0048414874
59,1,0.18546529,1.0976279,1.1696554,0.32330787,-0.15032959,-0.016401667
60,1,0.33169413,1.9643195,1.3160172,-0.9748665,-0.13438217,-0.027964167
61,1,-1.3066838,2.1271594,1.0204871,0.61674285,-0.115853965,-0.040463515
62,1,0.68416005,1.1472627,0.5118353,0.4487985,-0.11494312,-0.055295058
63,1,0.17054845,0.40004712,-0.13884287,0.3613581,-0.14932185,-0.029504336
64,1,0.75692725,-0.15883367,0.6009679,-0.07113829,-0.29933584,-0.009639669
65,1,-0.75204813,1.06017,0.87156403,-0.7102994,-0.27192467,-0.024925686
66,1,0.14196135,1.0396295,0.7531091,0.29001823,-0.242549,-0.0473909
67,1,0.40679896,1.9220685,0.9478232,-0.9710229,-0.21058962,-0.060943265
68,1,-1.4337944,2.098063,0.70916516,0.58357203,-0.17228122,-0.07615357
69,1,0.84757966,1.1401812,0.2445551,0.44229725,-0.14261548,-0.08446223
70,1,-0.12791155,0.3810784,-0.3848702,0.3633536,-0.1427149,-0.044574574
71,1,0.22129025,-0.18220177,0.025307467,-0.12226663,-0.23143503,-0.016891625
72,1,-0.35535264,1.0089206,0.2633108,-0.69215363,-0.28236303,-0.07208675
73,1,0.2756835,0.9804451,0.21993344,0.30244392,-0.2693808,-0.0939501
74,1,0.38322407,1.867046,0.48313797,-1.0219368,-0.22186878,-0.1089475
75,1,-1.2393731,2.0895028,0.3468415,0.5825668,-0.1682266,-0.12828718
76,1,0.71535164,1.1242677,-0.011545218,0.4297803,-0.10810954,-0.12601358
77,1,0.20570816,0.39604726,-0.50331664,0.3602565,-0.10770171,-0.055963714
78,1,0.8881496,-0.19649024,-0.3212759,-0.06289969,-0.04268088,-0.05514351
79,1,-0.48595214,1.0275422,-0.03174963,-0.68936276,0.0121465875,-0.074400194
80,1,0.3836374,1.0234692,-0.13899828,0.32412687,-0.05204415,-0.09177388
81,1,0.61094177,1.942237,0.1470338,-0.9706442,-0.07000981,-0.1436822
82,1,-1.363914,2.1244295,0.08793433,0.5756204,-0.046219908,-0.18864222
83,1,0.9362501,1.1568465,-0.10197015,0.43351874,-0.030770177,-0.18697663
84,1,0.0016433265,0.388852,-0.4050886,0.3480097,0.0910445,-0.0845549
85,1,0.23870425,-0.10432135,-0.23529431,-0.11567912,0.2267736,-0.014808387
86,1,-0.56549394,1.108842,0.03582945,-0.65439564,0.0006803213,-0.043299817
87,1,0.1112119,1.1610875,-0.13637829,0.31363463,0.09483988,-0.023074402
88,1,0.30109513,1.9965,0.03137638,-0.84290177,0.0428864,-0.0760794
89,1,-1.2646858,2.1825323,0.020871101,0.6892762,-0.030220892,-0.11343265
90,1,0.6440072,1.2042582,-0.07741478,0.60498714,0.07001697,-0.109006986
91,1,0.08673943,0.40545428,-0.07843977,0.43854767,0.03713252,-0.057946444
92,1,0.40096942,1.2559613,0.6310713,-0.7944994,0.065399766,0.040848117
93,1,-0.4681572,-1.0214106,-0.35826027,0.3559101,-0.21362047,0.007390985
94,1,-0.06449292,0.98043543,0.34883082,-2.0166955,0.008851783,0.05551999
95,1,-0.34941873,0.24053617,0.057596397,1.0768114,0.06928058,0.04031123
96,1,-1.5114269,0.16977702,-0.092852816,-0.81190574,-0.062656656,0.02930488
97,1,-1.0397419,1.1290549,0.24245296,2.3131726,0.095675655,0.0356003
98,1,1.9094299,-0.067307435,-0.21447846,0.92899406,-0.21988624,-0.0070048743
99,1,1.5031388,1.4215978,1.0673622,-0.79807,0.016613642,0.01121767
100,1,0.7178988,-1.1933062,-0.11497963,0.46831238,0.34614167,0.08299321
101,1,0.92616326,1.052196,0.7861816,-2.3037884,0.3377086,0.07671691
102,1,0.21046664,0.21154636,0.31151965,0.9960626,0.30254036,0.06107618
103,1,-0.99481606,0.09133927,0.07101263,-1.1845609,0.26930204,0.07248049
104,1,-0.78430927,1.103064,0.36779422,1.9767338,0.0959339,0.05565654
105,1,2.233483,-0.08320564,-0.062279668,0.7449383,0.004002051,0.022908326
106,1,1.1485444,1.3307396,1.550421,-0.79562485,0.9050497,0.04919519
107,1,0.09992526,-1.1810018,0.44811514,0.3607368,0.7640537,0.054218583
108,1,0.27871624,1.0094109,1.1943967,-2.365948,0.7156365,0.03815463
109,1,-0.18560776,0.17967984,0.66856754,0.95755744,0.61641073,0.038609233
110,1,-1.3049341,0.038904674,0.35124877,-1.2694117,0.45861456,0.031279646
111,1,-0.91139084,1.116966,0.56025594,1.9585308,0.32971212,0.03768139
112,1,2.0228994,-0.12174579,-0.038588442,0.7233054,0.20143536,0.01937595
113,1,0.2709505,1.3716623,2.1378965,-0.8532493,0.6912755,-0.0109894695
114,1,-0.34379607,-1.2053825,0.7959122,0.3672028,0.6937075,0.004480643
115,1,-0.045908384,0.99885815,1.5358646,-2.3370395,0.64282465,0.0072557223
116,1,-0.51506025,0.16049618,0.9584684,0.9781516,0.5422957,-0.005694492
117,1,-1.429569,0.050392434,0.5818883,-1.195735,0.4321814,-0.0045580072
118,1,-1.0881665,1.0858563,0.73077977,1.9832717,0.36353976,-0.0011951576
119,1,1.9603105,-0.08637407,0.15673798,0.73822606,0.4212589,-0.0008145855
120,1,0.75080544,1.3689262,2.3623521,-0.7981023,0.45131636,0.00035581656
121,1,-0.35462198,-1.2116121,1.1183286,0.3645211,0.44395363,-0.01577853
122,1,-0.07202836,1.0271021,1.8000457,-2.3284338,0.40985537,-0.025313318
123,1,-0.45563155,0.18152326,1.1723914,1.044103,0.36494544,-0.024898188
124,1,-1.4635866,0.07392378,0.7807336,-1.1501155,0.32709846,-0.022775581
125,1,-1.0650644,1.0951935,0.9051539,2.016458,0.30385268,-0.0142889675
126,1,1.6943809,-0.114850946,0.2636088,0.74290794,0.3378228,-0.0058864783
127,1,0.41821688,1.3540069,2.5955439,-0.863642,0.21239972,-0.0122302985
128,1,-0.26949134,-1.1870148,1.3036134,0.34949988,0.20877504,-0.020330315
129,1,-0.028872356,1.0412694,1.9769928,-2.2834213,0.20390692,-0.02125704
130,1,-0.5253512,0.20147675,1.3294265,1.0519552,0.18792365,-0.022428313
131,1,-1.458509,0.09001776,0.91511106,-1.104478,0.16602767,-0.018458663
132,1,-1.1528374,1.0923393,1.0222213,2.0350916,0.16829301,-0.012888726
133,1,1.7871257,-0.07849863,0.44683722,0.7481986,0.21609229,-0.0049884142
134,1,0.81931996,1.3814207,2.6438563,-0.7964366,-0.00012658948,3.7553902e-05
135,1,-0.34347486,-1.1956818,1.3798674,0.36953342,-0.00017741413,0.00014841589
136,1,-0.086563535,1.048233,2.0346816,-2.3027868,-0.00011236151,0.00017473187
137,1,-0.48446298,0.20421503,1.3772734,1.0793388,-1.8573439e-05,0.00025126527
138,1,-1.4856913,0.0978026,0.96180385,-1.0998383,3.543748e-05,0.00019413192
139,1,-1.0985587,1.0988883,1.0734322,2.0405781,0.00014737494,0.00019187908
140,1,1.5924911,-0.1114235,0.4401001,0.75115484,0.00025903256,3.5915564e-05
141,1,0.418211,1.3542916,2.5956547,-0.86372083,-0.21297099,0.012271739
142,1,-0.26946807,-1.1872523,1.3034844,0.3496801,-0.20906194,0.02060493
143,1,-0.028779885,1.0413824,1.9770173,-2.2836936,-0.20410143,0.021617796
144,1,-0.52542305,0.2014634,1.3294033,1.052105,-0.18798308,0.022900328
145,1,-1.4584386,0.09000136,0.9151098,-1.1046371,-0.165945,0.018853858
146,1,-1.1528908,1.0923505,1.0222193,2.035099,-0.16800761,0.013251081
147,1,1.7870923,-0.07850281,0.4468018,0.74816453,-0.21555403,0.005074653
148,1,0.7508867,1.3694744,2.3625336,-0.79823196,-0.4515125,-0.00025434454
149,1,-0.35456452,-1.2120751,1.1181008,0.36489037,-0.44427165,0.016005674
150,1,-0.07188339,1.0273296,1.8000942,-2.329002,-0.41005558,0.02566591
151,1,-0.45577368,0.18150268,1.1723499,1.044417,-0.3649709,0.02531326
152,1,-1.46345,0.07389101,0.7807314,-1.1504471,-0.3270307,0.023165042
153,1,-1.065185,1.0952222,0.90515304,2.0164819,-0.30356857,0.014602621
154,1,1.6942991,-0.11485903,0.2635427,0.7428329,-0.3373404,0.0059870263
155,1,0.27097574,1.3724747,2.1382859,-0.8534947,-0.69168013,0.011052899
156,1,-0.34368286,-1.2060418,0.7955588,0.3677222,-0.6939111,-0.0042884727
157,1,-0.04564164,0.99919426,1.5359468,-2.3378596,-0.6429744,-0.006946282
158,1,-0.5152789,0.1604891,0.9584156,0.9785899,-0.54233444,0.006049932
159,1,-1.4293768,0.050345,0.5818782,-1.1962123,-0.43210632,0.0048984657
160,1,-1.0883495,1.0859121,0.7307929,1.9833014,-0.3632984,0.0014636175
161,1,1.9601834,-0.08639055,0.15663478,0.7381105,-0.4208032,0.0009117913
162,1,1.148688,1.3318431,1.5507349,-0.7959112,-0.9051175,-0.049145967
163,1,0.1000945,-1.1819721,0.44769338,0.36148152,-0.76423603,-0.05411049
164,1,0.27903098,1.0098968,1.1945404,-2.3671424,-0.71574867,-0.037903015
165,1,-0.18592988,0.179689,0.6684936,0.95822585,-0.6163969,-0.038327184
166,1,-1.3046713,0.038862906,0.3512424,-1.2700758,-0.45858017,-0.031014338
167,1,-0.9116732,1.1170554,0.5602667,1.9585991,-0.32951403,-0.03747644
168,1,2.0226772,-0.121754274,-0.038684443,0.72314876,-0.20111549,-0.01931205
169,1,1.5030773,1.4234072,1.068291,-0.79854643,-0.01651598,-0.011172848
170,1,0.71795803,-1.1947496,-0.11568473,0.46944708,-0.3462481,-0.082935356
171,1,0.926627,1.0529321,0.78645265,-2.305417,-0.33777976,-0.076566696
172,1,0.20993806,0.2115093,0.3114347,0.99701935,-0.3025344,-0.060871538
173,1,-0.9944784,0.091359526,0.071011476,-1.1854004,-0.26930028,-0.07231268
174,1,-0.78468674,1.1031818,0.36781994,1.9768775,-0.09585657,-0.055524617
175,1,2.233224,-0.08321065,-0.062382586,0.7447493,-0.0038462745,-0.022875102
176,1,0.40096995,1.257896,0.6317627,-0.7949798,-0.06571946,-0.040872574
177,1,-0.4680225,-1.0229598,-0.358782,0.35709983,0.21372983,-0.007351334
178,1,-0.064065725,0.9813834,0.34908542,-2.0184689,-0.008879349,-0.05546283
179,1,-0.34996134,0.24048662,0.05748731,1.0779238,-0.06932137,-0.04025301
180,1,-1.5109642,0.16983566,-0.09280666,-0.81282777,0.06266879,-0.029223798
181,1,-1.0399784,1.1291432,0.24243736,2.3133967,-0.09569053,-0.03557385
182,1,1.9093292,-0.0672911,-0.21450882,0.92878056,0.21993229,0.007022973
183,1,1.4452955,-2.6975486,-0.8841848,0.25570247,-0.17657258,-0.0068773525
184,1,-1.4162196,1.8578641,1.0930116,-2.0128114,0.40062162,0.11846543
185,1,0.67301387,-2.3394425,-0.19953632,2.111572,0.28042173,0.014319835
186,1,0.3692706,-1.0796994,0.16342866,-2.9560592,0.20299137,0.023014449
187,1,-3.4878783,0.25285465,0.40634644,1.7258289,0.30753508,0.021491863
188,1,-1.8798264,-1.2842673,-0.33778974,0.5021175,0.013532865,-0.043192502
189,1,4.0022435,0.9368742,0.54636014,1.7637037,0.065369256,0.019340798
190,1,3.964911,-3.061619,-0.17967226,0.33975437,1.1638815,0.10626061
191,1,0.69990224,2.1497464,2.0111482,-2.3328142,0.9214723,0.09102706
192,1,2.0397587,-2.5102568,0.18106307,2.0911474,0.9445768,0.039388027
193,1,1.4581326,-1.1551332,0.6637834,-3.4439209,0.85527104,0.005755669
194,1,-2.8728602,0.24134885,0.7919124,1.4483409,0.5852844,-0.06989147
195,1,-1.3528157,-1.4081929,-0.15353507,0.008528949,0.39185706,-0.07215512
196,1,4.3178034,0.94440347,0.60115236,1.5371475,0.009352833,-0.03322922
197,1,2.063918,-2.8967087,1.0971844,0.22244483,1.32756,-0.010553256
198,1,-0.88980424,2.073954,2.613518,-2.3863747,1.3685904,0.022648964
199,1,0.7152523,-2.5196853,0.85058624,1.997753,1.2320719,-0.018570088
200,1,0.24666631,-1.1679739,1.1645855,-3.5391405,0.98557013,-0.114874095
201,1,-3.5474224,0.29372054,1.1131371,1.441275,0.7326535,-0.13741747
202,1,-1.7090721,-1.4407024,0.111452274,-0.060892556,0.49310446,-0.1252806
203,1,4.101215,1.0006088,0.9838097,1.5436885,0.4777034,-0.05185753
204,1,1.4158484,-2.992345,1.4535985,0.29540336,1.1488019,0.011942298
205,1,-1.5988636,2.12977,3.2163894,-2.4106648,1.0538208,-0.041115813
206,1,0.0036362684,-2.462902,1.2250761,2.0060716,0.9162642,-0.11126739
207,1,-0.07588231,-1.0780495,1.4282063,-3.425125,0.76839656,-0.1437113
208,1,-3.7455254,0.3128817,1.3546513,1.5197314,0.6196993,-0.16243993
209,1,-1.8987886,-1.3839767,0.359764,0.028429408,0.53533995,-0.12954752
210,1,3.6562476,0.950407,1.1958876,1.5486693,0.51444393,-0.048386708
211,1,1.3620831,-2.949382,1.8886855,0.22154817,0.67574126,-0.04588996
212,1,-1.6017737,2.182887,3.4206781,-2.3862693,0.65732896,-0.0883708
213,1,0.093575604,-2.41522,1.4063665,2.0807662,0.619708,-0.106871754
214,1,-0.15811078,-1.0177895,1.6042774,-3.3443503,0.54548234,-0.13846026
215,1,-3.831659,0.3387888,1.4939089,1.6256176,0.45688087,-0.13700534
216,1,-2.0018225,-1.361099,0.5388765,0.09324124,0.42392987,-0.10883573
217,1,3.4941757,0.98897046,1.5190434,1.5804417,0.50953203,-0.042270504
218,1,1.6870819,-2.9389684,1.9172798,0.30196595,0.33437663,-0.016681405
219,1,-1.4862432,2.1811838,3.565021,-2.3434632,0.33471853,-0.0528894
220,1,-0.025610998,-2.3864422,1.5167264,2.0926304,0.30082384,-0.07411861
221,1,-0.19256863,-0.99196154,1.692498,-3.2563756,0.2640757,-0.07944691
222,1,-3.8501804,0.36033198,1.5943915,1.6801023,0.24020219,-0.07893193
223,1,-2.0523186,-1.3388202,0.6647741,0.14961913,0.23626772,-0.060922164
224,1,3.2736616,0.94797134,1.5982203,1.5891255,0.26670557,-0.023468565
225,1,1.448017,-2.9592078,1.9763272,0.23484163,-0.00044588195,4.7670957e-05
226,1,-1.5847507,2.1908123,3.5895317,-2.3492599,-0.0002473481,7.660915e-05
227,1,0.060473524,-2.3834734,1.5529791,2.1350014,-0.00014310578,0.00019706057
228,1,-0.19170475,-0.9754558,1.7271843,-3.2495508,-7.3307434e-05,0.00014716567
229,1,-3.8770337,0.3610605,1.6232884,1.7082257,7.572582e-05,0.00023810104
230,1,-2.0756588,-1.3358246,0.6994497,0.16432135,0.0002114279,0.00010205797
231,1,3.3069234,0.9873882,1.734172,1.5998782,0.00038221912,0.000100643294
232,1,1.6871549,-2.9395828,1.9169538,0.3021088,-0.3348263,0.01682324
233,1,-1.4860349,2.1816354,3.565153,-2.3438451,-0.33523327,0.053061135
234,1,-0.025709817,-2.3865361,1.5166337,2.0929117,-0.30113313,0.07447033
235,1,-0.19243099,-0.9919338,1.6924902,-3.2566721,-0.26419842,0.07976778
236,1,-3.8502746,0.3604025,1.594392,1.6802197,-0.24006091,0.07937314
237,1,-2.05226,-1.3388537,0.66474205,0.149467,-0.23584735,0.061146602
238,1,3.273511,0.9480193,1.5981843,1.5891331,-0.2659863,0.023639437
239,1,1.3622117,-2.9505756,1.8881407,0.22181098,-0.6765161,0.04591097
240,1,-1.6014898,2.1837742,3.4209228,-2.387056,-0.6577517,0.08857764
241,1,0.09338866,-2.4154007,1.4061873,2.081348,-0.61996126,0.10716736
242,1,-0.157827,-1.0177251,1.6042569,-3.3449693,-0.54561776,0.13880196
243,1,-3.831868,0.33894095,1.4939132,1.6258729,-0.45673108,0.13738294
244,1,-2.0016968,-1.3611724,0.53881174,0.09292057,-0.42353565,0.109093264
245,1,3.4938424,0.989072,1.5189731,1.580467,-0.5088096,0.04239799
246,1,1.4161305,-2.9940956,1.4526374,0.29582882,-1.149064,-0.011878079
247,1,-1.5982145,2.131077,3.2168012,-2.411817,-1.0542208,0.04130046
248,1,0.0033455922,-2.4631283,1.2248096,2.0068812,-0.91650224,0.11152206
249,1,-0.07551329,-1.0779532,1.4281609,-3.4260197,-0.768493,0.14402454
250,1,-3.7458284,0.31313992,1.354672,1.5200945,-0.6195785,0.16277237
251,1,-1.8986598,-1.3840886,0.35966212,0.027961988,-0.53497535,0.12978567
252,1,3.6557322,0.9505686,1.1958085,1.5487081,-0.513836,0.048485838
253,1,2.0641801,-2.8991313,1.0963682,0.2229702,-1.3279456,0.010572875
254,1,-0.8890895,2.0758493,2.6140728,-2.3880627,-1.3687863,-0.022445288
255,1,0.71487665,-2.5199766,0.8502296,1.9989488,-1.2321796,0.018765999
