ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,7.5810194e-06,-4.12166e-06,-1.550999e-05,-2.231779e-05,-4.4240318e-05,2.879409e-06
2,1,-1.8264152e-05,8.314419e-05,-2.6652331e-05,-0.00014931199,3.990362e-07,8.124048e-06
3,1,-4.7866133e-06,8.875544e-05,-4.456754e-05,6.7567154e-05,-1.7852373e-05,9.854054e-07
4,1,-4.91826e-06,0.0001404868,-5.7005935e-05,-0.00018118478,-9.88201e-06,1.5763972e-05
5,1,-4.057057e-05,0.00016180081,-5.3340784e-05,0.00015203355,5.076678e-06,2.4657797e-05
6,1,9.393973e-06,7.7504345e-05,-4.2174088e-05,0.00011890494,-1.5913027e-05,2.3329505e-05
7,1,-1.3136713e-06,3.0029634e-05,-1.7051758e-05,8.395724e-05,-8.014635e-06,1.3654983e-05
8,1,2.1038302e-05,-1.0479723e-05,-2.4502173e-05,-1.1514571e-05,6.3284024e-06,1.1985331e-05
9,1,-1.6236148e-05,7.973285e-05,-3.1813113e-05,-0.00015519637,-5.392564e-06,1.2203483e-05
10,1,7.770368e-07,7.9552505e-05,-4.3775057e-05,7.334971e-05,7.5171474e-06,1.4257845e-05
11,1,1.1556058e-06,0.00013212333,-4.9976767e-05,-0.00020406893,1.0268974e-05,2.6874488e-05
12,1,-4.253366e-05,0.00015759398,-4.8757443e-05,0.00013208199,5.5455444e-06,3.815814e-05
13,1,1.5983562e-05,7.303904e-05,-4.5039244e-05,8.699119e-05,2.6060256e-06,3.941207e-05
14,1,-1.0483151e-06,3.8729602e-05,-4.033943e-05,6.688769e-05,-1.9619441e-05,1.828228e-05
15,1,6.427076e-06,-1.2673119e-05,-8.3308777e-07,-2.3301003e-05,3.8739254e-05,1.7893603e-06
16,1,-1.44409105e-05,7.095744e-05,-1.4692767e-05,-0.00015474074,5.0213897e-05,1.1891551e-05
17,1,-2.1670926e-06,6.852077e-05,-1.8717705e-05,7.100046e-05,4.89473e-05,1.4377856e-05
18,1,-4.1255926e-06,0.00011858299,-2.4370134e-05,-0.0002130754,3.990553e-05,1.6563868e-05
19,1,-4.091558e-05,0.00014818324,-3.1277104e-05,0.0001346463,3.0652012e-05,2.2125689e-05
20,1,1.1811771e-05,6.865207e-05,-3.704211e-05,8.6489476e-05,1.9620553e-05,2.387275e-05
21,1,3.4466968e-06,4.0110514e-05,-4.7352984e-05,6.87455e-05,2.1211727e-05,1.0656767e-05
22,1,1.45319955e-05,-2.7396703e-05,3.2608852e-05,-1.2690123e-05,5.5692486e-05,6.528274e-07
23,1,-2.5382345e-05,6.0874398e-05,2.73069e-05,-0.00015755762,5.1574098e-05,3.9960406e-07
24,1,-8.106184e-06,5.962885e-05,1.7274539e-05,6.877452e-05,4.6369198e-05,3.3893668e-06
25,1,-6.32102e-06,0.00010976946,6.6993407e-06,-0.00020201203,4.0647785e-05,6.0841317e-06
26,1,-4.6730136e-05,0.0001396446,-3.9574434e-06,0.00013514509,3.3872984e-05,1.039327e-05
27,1,1.2746762e-05,6.144593e-05,-1.8466222e-05,8.889075e-05,2.882616e-05,1.4357491e-05
28,1,-3.9871557e-06,3.700565e-05,-3.3876044e-05,6.938899e-05,2.997243e-05,8.67103e-06
29,1,-2.3824402e-06,-3.6125097e-05,6.912452e-05,-2.724661e-05,2.8677645e-05,-2.72118e-06
30,1,-2.3378687e-05,5.142139e-05,5.5882392e-05,-0.00015828814,2.8146742e-05,-3.183498e-06
31,1,-9.718064e-06,5.2563468e-05,4.508166e-05,7.599721e-05,2.9242288e-05,-1.959825e-06
32,1,-1.0209225e-05,0.0001029239,3.3065087e-05,-0.00020210394,2.6542853e-05,1.8466795e-07
33,1,-4.620326e-05,0.00013227105,1.8077795e-05,0.00014170977,2.3217815e-05,3.916519e-06
34,1,7.89134e-06,5.499058e-05,3.5842895e-06,9.023539e-05,2.3844725e-05,9.480785e-06
35,1,1.2522653e-07,2.893046e-05,-1.48227455e-05,6.874182e-05,3.14869e-05,5.673163e-06
36,1,1.1789478e-05,-4.2733205e-05,7.7909135e-05,-1.398801e-05,1.1991826e-05,-5.0426377e-07
37,1,-2.8320826e-05,4.654104e-05,7.360079e-05,-0.00015573789,1.4432662e-05,-2.2493582e-06
38,1,-1.1783412e-05,4.746613e-05,6.181382e-05,7.081847e-05,1.3697381e-05,-2.3214363e-06
39,1,-1.0301351e-05,9.871111e-05,4.777251e-05,-0.00019540433,1.3314355e-05,-1.016249e-06
40,1,-4.9158873e-05,0.00012760964,3.393936e-05,0.00014074353,1.3283002e-05,1.5471963e-06
