ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.2754693,-0.09121003,-0.20574321,-0.1298334,-0.19324341,0.009441816
2,1,-0.5361968,1.1271905,0.033497922,-0.6757514,0.0036317678,0.027511334
3,1,0.09593175,1.209301,-0.110944115,0.2801859,-0.07699168,0.008920173
4,1,0.23888907,1.9669682,0.03621935,-0.7575706,-0.03364935,0.062187623
5,1,-1.1427369,2.0299194,0.010999533,0.7004012,0.023267657,0.09486161
6,1,0.6345577,1.0825139,-0.06621526,0.5298265,-0.06289298,0.09065705
7,1,0.053213652,0.3657243,-0.06929922,0.39328492,-0.034268573,0.049240984
8,1,0.8227399,-0.16785596,-0.28479493,-0.080256715,0.03764789,0.040566918
9,1,-0.4786399,1.0517365,-0.03147423,-0.6965344,-0.009080691,0.044963
10,1,0.32897413,1.0971427,-0.093487926,0.29567495,0.051069323,0.05812889
11,1,0.49676257,1.9193263,0.14482865,-0.8686286,0.06177279,0.10612061
12,1,-1.2171786,1.9753376,0.065740004,0.6011845,0.03938888,0.14874893
13,1,0.8921581,1.0330322,-0.088787004,0.3760499,0.024789076,0.1504331
14,1,-0.012810551,0.35299724,-0.34394515,0.31250513,-0.074949086,0.06831146
15,1,0.2597954,-0.15056388,-0.006137936,-0.13330595,0.19743466,0.0058595417
16,1,-0.3573004,1.033395,0.22315119,-0.6999722,0.24778597,0.042609237
17,1,0.24270505,1.0584197,0.22417417,0.27792525,0.23679848,0.054661486
18,1,0.30970204,1.8427591,0.4431361,-0.90752745,0.19520448,0.065180644
19,1,-1.1115249,1.9446962,0.29987,0.61187696,0.15119362,0.085406326
20,1,0.70664614,0.99694407,0.001733628,0.37482107,0.10086188,0.09085056
21,1,0.15735024,0.3599063,-0.39776853,0.32371372,0.10700034,0.041403133
22,1,0.727311,-0.12696575,0.48761386,-0.08768548,0.2742232,6.2745526e-06
23,1,-0.70145017,1.0750622,0.7511634,-0.7145502,0.24428858,-0.0018259967
24,1,0.120206624,1.1132677,0.6956948,0.2695449,0.2195262,0.011437194
25,1,0.325281,1.8907173,0.8590281,-0.8580385,0.19223051,0.02223889
26,1,-1.2782019,1.9508348,0.6353522,0.6156399,0.1584781,0.038333688
