NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.029955726,0.05103643,0.00020896208
2,-12.0,0.5714286,8.0,-0.025662683,0.05423337,-9.683148e-06
3,-12.0,1.1428572,8.0,-0.011142774,0.051507488,-0.00012506564
4,-12.0,1.7142857,8.0,-0.0067453566,0.05357829,-3.168405e-05
5,-12.0,2.2857144,8.0,0.007952334,0.052291695,-0.00022597132
6,-12.0,2.857143,8.0,0.012565184,0.053005032,-0.00012401221
7,-12.0,3.4285715,8.0,0.027547687,0.052966274,-0.00019888654
8,-12.0,4.0,8.0,0.032199904,0.052362297,-0.00039915298
9,-12.0,0.0,7.3846154,-0.029761065,0.0508013,-3.8121878e-05
10,-12.0,0.5714286,7.3846154,-0.025573421,0.05429497,2.605288e-05
11,-12.0,1.1428572,7.3846154,-0.010750966,0.051367003,4.269989e-06
12,-12.0,1.7142857,7.3846154,-0.0067123966,0.053559113,-8.912367e-05
13,-12.0,2.2857144,7.3846154,0.008308027,0.052216604,-6.371489e-05
14,-12.0,2.857143,7.3846154,0.012611058,0.052946173,-0.0001426847
15,-12.0,3.4285715,7.3846154,0.027770035,0.05290776,-0.00012522146
16,-12.0,4.0,7.3846154,0.032304857,0.052338995,-3.3926623e-05
17,-12.0,0.0,6.769231,-0.029333431,0.050732333,0.00013601477
18,-12.0,0.5714286,6.769231,-0.025524165,0.054278705,5.7168996e-05
19,-12.0,1.1428572,6.769231,-0.010508845,0.05127968,2.622792e-05
20,-12.0,1.7142857,6.769231,-0.006637906,0.053508013,1.1820725e-05
21,-12.0,2.2857144,6.769231,0.008544913,0.052144065,-4.4186367e-05
22,-12.0,2.857143,6.769231,0.012620513,0.0528281,-4.9908467e-05
23,-12.0,3.4285715,6.769231,0.028036851,0.0528734,-0.00014119847
24,-12.0,4.0,6.769231,0.03222317,0.05217462,-0.00030846245
25,-12.0,0.0,6.1538463,-0.029343633,0.050733387,0.00011595946
26,-12.0,0.5714286,6.1538463,-0.025442561,0.05416977,0.000100788246
27,-12.0,1.1428572,6.1538463,-0.010393005,0.05128931,6.936215e-05
28,-12.0,1.7142857,6.1538463,-0.006594121,0.05340398,4.2380612e-05
29,-12.0,2.2857144,6.1538463,0.008645187,0.052112736,1.7785564e-05
30,-12.0,2.857143,6.1538463,0.0126858605,0.052733276,-3.697185e-05
31,-12.0,3.4285715,6.1538463,0.028096255,0.052815814,-2.351341e-05
32,-12.0,4.0,6.1538463,0.032353878,0.052102942,3.6708009e-06
33,-12.0,0.0,5.5384617,-0.029243814,0.050702326,0.00010185409
34,-12.0,0.5714286,5.5384617,-0.025404772,0.05418809,9.230674e-05
35,-12.0,1.1428572,5.5384617,-0.01038763,0.051215213,8.6199965e-05
36,-12.0,1.7142857,5.5384617,-0.0065360363,0.053387642,4.9441052e-05
37,-12.0,2.2857144,5.5384617,0.008659485,0.052046593,3.0204596e-05
38,-12.0,2.857143,5.5384617,0.012729682,0.05269197,1.42293e-05
39,-12.0,3.4285715,5.5384617,0.028131582,0.05274429,-6.109942e-05
40,-12.0,4.0,5.5384617,0.03233402,0.05203782,-0.00016782891
41,-12.0,0.0,4.923077,-0.02928199,0.050683245,9.9313474e-05
42,-12.0,0.5714286,4.923077,-0.025382087,0.054157156,7.385731e-05
