ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,7.583924e-06,-1.6960447e-06,-1.7470875e-05,-2.861749e-05,-4.3567816e-05,3.2348382e-06
2,1,-1.9098803e-05,9.638419e-05,-3.1446223e-05,-0.00014968596,1.0725377e-06,8.368783e-06
3,1,-4.92641e-06,0.000104243314,-5.1217565e-05,6.23307e-05,-1.7640079e-05,1.7143598e-06
4,1,-7.041665e-06,0.00016066404,-6.371836e-05,-0.0001680725,-7.2927e-06,1.7183218e-05
5,1,-3.8168757e-05,0.0001756442,-5.9440375e-05,0.00015463664,4.7794906e-06,2.7467024e-05
6,1,7.719286e-06,8.858916e-05,-4.5894845e-05,0.000119140335,-1.3789571e-05,2.6847376e-05
7,1,-6.1027725e-07,3.2650212e-05,-1.8765553e-05,8.7745895e-05,-7.66527e-06,1.481257e-05
8,1,2.208698e-05,-9.168224e-06,-2.6878499e-05,-1.6681252e-05,6.1979244e-06,1.2577733e-05
9,1,-1.6839116e-05,9.144445e-05,-3.5814548e-05,-0.00015478389,-3.6265758e-06,1.2687099e-05
10,1,1.4985953e-06,9.153283e-05,-4.8215777e-05,6.6268905e-05,9.546104e-06,1.4584355e-05
11,1,-1.2653401e-06,0.00015038166,-5.4383992e-05,-0.00019459291,1.2083939e-05,2.861716e-05
12,1,-4.008569e-05,0.000169554,-5.2537212e-05,0.00013144872,7.085062e-06,4.202012e-05
13,1,1.4286322e-05,8.3426705e-05,-4.8156224e-05,8.314686e-05,3.82146e-06,4.3961034e-05
14,1,-3.8724667e-07,4.2248408e-05,-4.3241074e-05,6.862277e-05,-1.8713574e-05,2.0259631e-05
15,1,6.7263163e-06,-1.3511459e-05,1.9071942e-07,-2.8974275e-05,4.2639393e-05,9.0254105e-07
16,1,-1.4835817e-05,7.982504e-05,-1.4751262e-05,-0.00015519359,5.3677923e-05,1.000972e-05
17,1,-2.1100159e-06,7.7206816e-05,-1.8644436e-05,6.233933e-05,5.133998e-05,1.2157352e-05
18,1,-6.8246195e-06,0.00013408085,-2.468155e-05,-0.00020435004,4.134365e-05,1.5142747e-05
19,1,-3.8676535e-05,0.0001578647,-3.212591e-05,0.00013390838,3.115479e-05,2.1866097e-05
20,1,9.81812e-06,7.8519544e-05,-3.9020324e-05,8.218955e-05,1.8898587e-05,2.4601552e-05
21,1,4.3260584e-06,4.4476335e-05,-5.1673407e-05,7.092737e-05,1.91084e-05,1.1420243e-05
22,1,1.4679594e-05,-3.2523018e-05,4.1097046e-05,-1.8252003e-05,6.4014646e-05,-2.1778574e-06
23,1,-2.7266135e-05,6.666385e-05,3.4593108e-05,-0.00015849,5.6925343e-05,-5.0306653e-06
