ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.2519245,-0.09286945,-0.22798398,-0.12874293,-0.21566889,0.011262135
2,1,-0.53025967,1.1303349,0.03518659,-0.67402345,0.005288994,0.029299414
3,1,0.07981754,1.206813,-0.12592402,0.28010264,-0.08732479,0.0059762383
4,1,0.24600159,1.9606802,0.038021073,-0.7569656,-0.03614161,0.06013859
5,1,-1.1494262,2.0274003,0.011852034,0.69508904,0.023603424,0.09614029
6,1,0.6282159,1.0822126,-0.07094467,0.53581995,-0.06831764,0.093944505
7,1,0.052535787,0.36625072,-0.074762784,0.39473444,-0.03797333,0.05183194
8,1,0.85165524,-0.1786734,-0.33042148,-0.07495129,0.030651266,0.04403155
9,1,-0.4768893,1.0414139,-0.048816193,-0.69693816,-0.017980274,0.044404328
10,1,0.3321031,1.0738038,-0.12427113,0.29789317,0.047222096,0.051058568
11,1,0.52018976,1.9010855,0.14666702,-0.87624663,0.059749305,0.100185275
12,1,-1.2368542,1.968828,0.0647336,0.59076035,0.03498796,0.14708146
13,1,0.90184236,1.02937,-0.098788045,0.37389508,0.018819805,0.15387006
14,1,-0.025898002,0.35363472,-0.37937096,0.30864596,-0.09267434,0.07088233
15,1,0.24565719,-0.16152212,-0.043979518,-0.13031037,0.211063,0.0032175789
16,1,-0.323126,1.0149162,0.20482212,-0.69873077,0.26568368,0.035115693
17,1,0.24939178,1.0278096,0.20600986,0.28024784,0.25410885,0.042621326
18,1,0.33213314,1.8144827,0.45441234,-0.9201137,0.20461594,0.05306573
19,1,-1.1162266,1.9334987,0.3045429,0.6018762,0.15417384,0.07657595
20,1,0.71118665,0.9877407,-0.020045696,0.3695876,0.093494296,0.08613478
21,1,0.1647074,0.3610101,-0.46337909,0.3190253,0.09456221,0.039998755
22,1,0.7619765,-0.13505045,0.49603683,-0.081963405,0.31687728,-0.0075346744
23,1,-0.7065341,1.061135,0.7868154,-0.71356255,0.281791,-0.017522654
24,1,0.116712414,1.0858067,0.7215293,0.27364105,0.24853186,-0.005871137
25,1,0.34538296,1.8645155,0.9033075,-0.8670921,0.21225663,0.004383694
26,1,-1.2981789,1.9395415,0.65513873,0.60762686,0.1670578,0.023076678
27,1,0.8299704,0.9995525,0.23054124,0.3864613,0.13471624,0.043408617
28,1,-0.13891949,0.34784213,-0.3276859,0.32253036,0.13667816,0.02829644
29,1,0.039504576,-0.14787821,0.9713458,-0.14889771,0.17478037,-0.020604918
30,1,-0.49132583,1.1134892,1.2506183,-0.7131914,0.16401568,-0.03284103
31,1,0.14560044,1.1505326,1.1500866,0.3118168,0.16249274,-0.028729612
32,1,0.26415852,1.9107927,1.277935,-0.8616196,0.13865232,-0.0195485
33,1,-1.1874645,1.9710662,0.9684952,0.64724326,0.115575396,-0.002972586
34,1,0.68073773,1.0071326,0.50265145,0.39773583,0.11116607,0.022271764
35,1,0.12664974,0.36504522,-0.063239194,0.32246992,0.1444188,0.016537366
36,1,0.797496,-0.108188406,1.1951504,-0.08715915,0.0781199,-0.0081806965
37,1,-0.6757182,1.1211097,1.507676,-0.700936,0.08265165,-0.0217335
38,1,0.1154906,1.1710353,1.39796,0.29319948,0.07520357,-0.022536615
39,1,0.3245659,1.9433653,1.5000175,-0.82548,0.069714606,-0.016935118
40,1,-1.2705749,1.9834186,1.1755008,0.64812446,0.06473617,-0.0057183434
41,1,0.8000619,1.0172558,0.70358396,0.40780747,0.061232664,0.008329308
42,1,-0.19668788,0.3455857,0.11568952,0.32756075,0.07870748,0.00855121
43,1,0.064622246,-0.14851947,1.2721137,-0.15144531,-0.00017605192,0.000105625404
44,1,-0.49650446,1.1292204,1.5843445,-0.7164599,-5.7258105e-05,0.00027963426
45,1,0.14433503,1.1853275,1.4772838,0.31874463,-5.0958446e-05,0.00037402287
46,1,0.26484257,1.946758,1.5785965,-0.837911,-2.4807803e-05,0.00041931745
47,1,-1.1993084,1.990879,1.245901,0.663049,3.0459621e-05,0.00042132437
48,1,0.6778271,1.016189,0.7734736,0.408017,6.576563e-05,0.00033346817
49,1,0.113942444,0.3672521,0.20892328,0.32396737,0.00015160498,0.00014657786
50,1,0.7976938,-0.108301625,1.19509,-0.087113045,-0.0782723,0.0084067015
51,1,-0.6757796,1.1211843,1.5076518,-0.70103186,-0.08282136,0.022267386
52,1,0.11542913,1.1709352,1.3978775,0.29330227,-0.07530049,0.023259979
53,1,0.32475835,1.9433497,1.5000213,-0.8256158,-0.0697529,0.017752342
54,1,-1.2708104,1.9833862,1.1755036,0.6481573,-0.064681344,0.0065297214
55,1,0.8002404,1.0172368,0.7036345,0.40776438,-0.061098304,-0.007674803
56,1,-0.19678311,0.34557757,0.11568379,0.32754704,-0.07842537,-0.008270255
57,1,0.03927984,-0.14812234,0.971243,-0.1488664,-0.17509463,0.020782253
58,1,-0.4913158,1.113629,1.2505649,-0.7133951,-0.16411038,0.03332894
59,1,0.14552209,1.150347,1.1499323,0.3120416,-0.16258511,0.029375551
60,1,0.26448277,1.910757,1.2779454,-0.8619047,-0.13869545,0.020291155
61,1,-1.1879066,1.9710088,0.9685061,0.64731765,-0.115515426,0.0037108033
62,1,0.6810767,1.007099,0.5027612,0.3976455,-0.111044645,-0.021675123
63,1,0.12649739,0.36502057,-0.06324336,0.32244524,-0.14413744,-0.016279852
64,1,0.7625598,-0.13538742,0.49586204,-0.08182683,-0.31696868,0.0076855314
65,1,-0.70670956,1.0613449,0.78677595,-0.71385187,-0.28191352,0.01791103
66,1,0.11654318,1.0855262,0.7213148,0.2739389,-0.24859262,0.0064056907
67,1,0.34594598,1.8644838,0.90333873,-0.8674871,-0.21228239,-0.003765243
68,1,-1.2988712,1.9394612,0.65516657,0.60772765,-0.16700818,-0.022460122
69,1,0.8304913,0.9995037,0.23071143,0.3863361,-0.13460472,-0.042903062
70,1,-0.13920514,0.3478212,-0.32766655,0.32249245,-0.13644645,-0.028083736
71,1,0.24529497,-0.16198806,-0.044091035,-0.1302316,-0.21118236,-0.0031170084
72,1,-0.32309413,1.0152271,0.20480947,-0.6991242,-0.26570237,-0.03484038
73,1,0.24922211,1.0274572,0.20579141,0.28072178,-0.25414988,-0.04224004
74,1,0.33278915,1.814443,0.4544768,-0.9206845,-0.20464182,-0.052591864
75,1,-1.1171362,1.9334322,0.30456972,0.6020532,-0.15412685,-0.07611569
76,1,0.7118711,0.98768073,-0.019815868,0.36941767,-0.09342614,-0.085770294
77,1,0.1643752,0.36096367,-0.4633501,0.31898078,-0.09438598,-0.03983586
78,1,0.8523111,-0.17936763,-0.33068767,-0.07472844,-0.030812029,-0.04401251
79,1,-0.47722983,1.0418705,-0.048648186,-0.6975151,0.018002272,-0.04425552
80,1,0.33173257,1.0733505,-0.12450751,0.29853612,-0.047243595,-0.05081403
81,1,0.52127606,1.9011098,0.14679357,-0.87694067,-0.059768043,-0.09988502
82,1,-1.2382265,1.9687256,0.06469857,0.59101564,-0.034985766,-0.14677565
83,1,0.902865,1.0293266,-0.09857421,0.3736983,-0.018805983,-0.15366468
84,1,-0.026430577,0.35361508,-0.3793422,0.30858192,0.09274493,-0.07080522
85,1,0.25197595,-0.09359034,-0.22821695,-0.12855875,0.21585304,-0.011249
86,1,-0.53040934,1.1309601,0.035390954,-0.67461115,-0.0054311366,-0.02927691
87,1,0.079507865,1.2063805,-0.12610033,0.28083393,0.08736838,-0.005877981
88,1,0.24702597,1.9607624,0.03813698,-0.7577577,0.036129918,-0.06002928
89,1,-1.1507843,2.0272543,0.011788848,0.69543266,-0.023623249,-0.09603735
90,1,0.62933785,1.0820915,-0.07084622,0.535597,0.068316065,-0.0938623
91,1,0.052065738,0.36615553,-0.07475965,0.39468125,0.037967056,-0.051831227
92,1,0.4756321,1.2405423,0.6003784,-0.81375426,0.060523704,0.03708226
93,1,-0.39663723,-0.95566463,-0.36294153,0.22626196,-0.20427382,0.0007824388
94,1,-0.22878806,0.9967515,0.33254373,-1.9705938,0.014810979,0.038675353
95,1,-0.43861297,0.22848092,0.039077267,1.1321329,0.062309824,0.022023536
96,1,-1.2709045,0.17423691,-0.07998326,-0.729817,-0.06587993,0.014074298
97,1,-0.90842485,1.0582814,0.22926559,2.148218,0.083527274,0.024849305
98,1,1.6868434,-0.08244382,-0.20222208,0.81402075,-0.21722661,-0.0083172945
99,1,1.4596931,1.3776798,0.98472923,-0.8059698,-0.017237477,0.0030474532
100,1,0.6830433,-1.1223531,-0.13922296,0.3509334,0.32570302,0.05578448
101,1,0.6713973,1.0443035,0.7302639,-2.2275822,0.31383276,0.03758629
102,1,0.068028525,0.21093744,0.27934936,1.0668417,0.27776006,0.019411597
103,1,-0.779156,0.09676905,0.07999706,-1.0774142,0.23850979,0.03402872
104,1,-0.65589696,1.0544844,0.36399367,1.8387218,0.07359299,0.028623015
105,1,2.0024753,-0.106089175,-0.060332,0.6384858,-0.015301797,0.013665798
106,1,1.2640649,1.2795756,1.4473002,-0.8028682,0.88048416,0.031962335
107,1,0.19152424,-1.0856553,0.40981123,0.25812683,0.7425292,0.015658313
108,1,0.14771686,0.9964389,1.1242492,-2.2776215,0.6925502,-0.008959364
109,1,-0.23717642,0.20249537,0.6433181,1.0438541,0.5926272,-0.013149198
110,1,-1.0354664,0.04146469,0.35872656,-1.1472458,0.42929637,-0.015390572
111,1,-0.7365365,1.0851786,0.57456976,1.828022,0.30174848,0.002518324
112,1,1.8225162,-0.15291925,-0.009894878,0.620531,0.18515638,0.00548997
113,1,0.35392606,1.3109018,2.011555,-0.8545044,0.72205895,-0.025022015
114,1,-0.2699711,-1.101473,0.76408637,0.2715818,0.72069246,-0.032574363
115,1,-0.20304532,0.98511076,1.4704497,-2.2361982,0.6600067,-0.04128154
116,1,-0.58469725,0.19498567,0.94289553,1.078731,0.5438248,-0.05562552
117,1,-1.1707816,0.05263789,0.5981065,-1.0591573,0.42245406,-0.050364994
118,1,-0.9053947,1.0636872,0.7641594,1.8649361,0.3476037,-0.034455396
119,1,1.7677999,-0.12094693,0.21396562,0.63922465,0.40529633,-0.013325538
120,1,0.749755,1.3075427,2.2106402,-0.7972913,0.5004139,-0.011315529
121,1,-0.35361087,-1.1093693,1.0752691,0.28043315,0.4770697,-0.045329805
122,1,-0.27536267,1.0121686,1.7299159,-2.207707,0.42826584,-0.06321596
123,1,-0.55592436,0.21599063,1.1543026,1.1614097,0.37132782,-0.06356542
124,1,-1.2179687,0.07905306,0.8013536,-0.9953683,0.32281741,-0.057600375
125,1,-0.88569343,1.0744607,0.9527363,1.9101131,0.29470152,-0.039690748
126,1,1.5110657,-0.14616314,0.35511,0.64985085,0.33587041,-0.015384536
127,1,0.4122991,1.2909567,2.426462,-0.8566256,0.22921686,-0.018666586
128,1,-0.2729473,-1.0851277,1.2481068,0.274526,0.22107558,-0.03642311
129,1,-0.22823915,1.0260895,1.8987483,-2.1496947,0.2125112,-0.0414547
130,1,-0.61343783,0.23685792,1.3096457,1.182056,0.19068635,-0.04317799
131,1,-1.2084266,0.097566545,0.93788415,-0.93743914,0.16431125,-0.03723191
132,1,-0.962966,1.0731882,1.0790764,1.9361503,0.16445611,-0.026387163
133,1,1.597715,-0.109652266,0.5555814,0.65761584,0.21247625,-0.010055967
134,1,0.8256177,1.3182644,2.4605708,-0.7917334,-0.00018736867,7.5615164e-05
135,1,-0.33481365,-1.0927887,1.3214053,0.29593197,-0.00025818677,0.0001956042
136,1,-0.2833711,1.0324135,1.9561253,-2.1643581,-0.00016161105,0.0002785883
137,1,-0.57958895,0.24098253,1.3573031,1.2130662,-2.880752e-05,0.0003398081
138,1,-1.2354037,0.10537907,0.98665243,-0.9287614,5.0651546e-05,0.00030484312
139,1,-0.9125323,1.0809224,1.1343939,1.9445902,0.00020918496,0.00025409297
140,1,1.4151378,-0.1419487,0.55773765,0.6621559,0.00036136596,7.639402e-05
141,1,0.41228628,1.2913594,2.426623,-0.85674185,-0.2299946,0.018765079
142,1,-0.27290443,-1.0854646,1.247922,0.27477175,-0.22148919,0.0367925
143,1,-0.22810438,1.0262595,1.8987806,-2.1500928,-0.21279745,0.042009167
144,1,-0.6135474,0.23683977,1.309605,1.1822549,-0.19077417,0.043827325
145,1,-1.2083331,0.09754992,0.93788,-0.9376746,-0.16419165,0.03783236
146,1,-0.96305716,1.0732057,1.0790694,1.9361651,-0.16405524,0.026876519
147,1,1.597668,-0.10966084,0.5555226,0.6575636,-0.21172582,0.010212558
148,1,0.74989617,1.3083276,2.210913,-0.7974784,-0.5007042,0.011459841
149,1,-0.3535062,-1.1100279,1.0749357,0.2809329,-0.4775269,0.045652352
150,1,-0.27513638,1.012508,1.7299813,-2.208521,-0.42854828,0.06372519
151,1,-0.55613655,0.21595865,1.1542277,1.1618217,-0.37136936,0.06415053
152,1,-1.217787,0.0790265,0.8013497,-0.9958427,-0.32272184,0.058160104
153,1,-0.88588524,1.0744954,0.95272523,1.9101489,-0.29430863,0.040129405
154,1,1.5109539,-0.14617231,0.3550071,0.6497454,-0.33520472,0.01553594
155,1,0.35395077,1.3120832,2.012117,-0.85484797,-0.7225751,0.025113944
156,1,-0.26979282,-1.1024331,0.7635691,0.2723033,-0.7209675,0.032842584
157,1,-0.20264009,0.98562115,1.4705654,-2.237373,-0.6602129,0.041714218
158,1,-0.5850206,0.19495898,0.9427943,1.0793263,-0.5438766,0.056122303
159,1,-1.1705165,0.052601777,0.5980961,-1.0598385,-0.42235035,0.05083897
160,1,-0.9056786,1.0637548,0.7641616,1.8649907,-0.3472734,0.034829378
161,1,1.7676332,-0.12097018,0.21381135,0.63906676,-0.40467718,0.0134590035
162,1,1.2642822,1.281128,1.4477701,-0.8032661,-0.8806044,-0.03190102
163,1,0.19174308,-1.0870105,0.40921322,0.25914344,-0.7427644,-0.015502071
164,1,0.14817612,0.9971363,1.1244425,-2.2792747,-0.69268763,0.009301322
165,1,-0.23764111,0.20249589,0.6431932,1.0447557,-0.59260637,0.013533402
166,1,-1.035108,0.041428365,0.35871917,-1.1481662,-0.42924616,0.015755199
167,1,-0.7369484,1.0853,0.57457656,1.8281357,-0.3014827,-0.0022399717
168,1,1.8222339,-0.15294167,-0.010034729,0.6203229,-0.18472601,-0.0054006674
169,1,1.4595838,1.3800576,0.9859231,-0.80659616,0.017382987,-0.0029902188
170,1,0.6831197,-1.1242707,-0.14016882,0.35242534,-0.3258479,-0.05570748
171,1,0.6720357,1.0452867,0.73062474,-2.229757,-0.3139159,-0.03738387
172,1,0.0672967,0.21090078,0.27922222,1.0681058,-0.27774802,-0.019137431
173,1,-0.7787008,0.0967918,0.07999164,-1.0785477,-0.23850363,-0.03380182
174,1,-0.6564247,1.054659,0.3640275,1.8389363,-0.07348222,-0.028447233
175,1,2.0021677,-0.106123954,-0.060480844,0.63823813,0.015510333,-0.013622353
176,1,0.4756489,1.2431269,0.6013222,-0.814395,-0.060957037,-0.03711569
177,1,-0.39648542,-0.9577504,-0.3636637,0.22785732,0.20443057,-0.00073355384
178,1,-0.22818449,0.99803156,0.3328984,-1.9729738,-0.014853258,-0.038597297
179,1,-0.43935022,0.22840977,0.03892164,1.1336285,-0.062358383,-0.02194619
180,1,-1.2702857,0.17431006,-0.07992219,-0.73108333,0.06589791,-0.013966212
181,1,-0.90878993,1.0584184,0.22925183,2.1485496,-0.08354384,-0.024813652
182,1,1.6867313,-0.08245194,-0.20226991,0.81373984,0.21729496,0.008339699
183,1,1.5994911,-2.607988,-0.8710479,0.15849458,-0.19329473,-0.0077263964
184,1,-1.304921,1.8655161,1.0584555,-2.0983698,0.38384885,0.10215891
185,1,0.24993692,-2.2160707,-0.2139715,1.9941233,0.25677052,-0.0018384852
