NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.02987281,0.050738223,2.1688313e-05
2,-12.0,0.5714286,8.0,-0.025780879,0.05402789,-0.00019324469
3,-12.0,1.1428572,8.0,-0.011089275,0.051226307,-0.0002998461
4,-12.0,1.7142857,8.0,-0.006901755,0.053359315,-0.00021453957
5,-12.0,2.2857144,8.0,0.007967156,0.052025836,-0.00039900854
6,-12.0,2.857143,8.0,0.012372706,0.05277423,-0.00030146324
7,-12.0,3.4285715,8.0,0.027522944,0.052713506,-0.0003758795
8,-12.0,4.0,8.0,0.031977072,0.052122775,-0.0005608963
9,-12.0,0.0,7.3846154,-0.0296757,0.05052553,-0.00022312337
10,-12.0,0.5714286,7.3846154,-0.025673078,0.05408368,-0.00015566619
11,-12.0,1.1428572,7.3846154,-0.010704377,0.051092423,-0.00017474261
12,-12.0,1.7142857,7.3846154,-0.0068489173,0.0533412,-0.00026672744
13,-12.0,2.2857144,7.3846154,0.008319105,0.051951732,-0.0002412934
14,-12.0,2.857143,7.3846154,0.01243543,0.052719086,-0.00031714884
15,-12.0,3.4285715,7.3846154,0.02774755,0.052655008,-0.0002967582
16,-12.0,4.0,7.3846154,0.032090988,0.05210083,-0.0002100368
17,-12.0,0.0,6.769231,-0.029258749,0.050457496,-4.4817567e-05
18,-12.0,0.5714286,6.769231,-0.025606442,0.05406782,-0.00012415498
19,-12.0,1.1428572,6.769231,-0.010465843,0.051011063,-0.00015327132
20,-12.0,1.7142857,6.769231,-0.006757226,0.05329462,-0.00016632435
21,-12.0,2.2857144,6.769231,0.008551541,0.051879432,-0.0002207419
22,-12.0,2.857143,6.769231,0.012465376,0.052611403,-0.00022768942
23,-12.0,3.4285715,6.769231,0.02800785,0.052615374,-0.00031583544
24,-12.0,4.0,6.769231,0.032034926,0.05195037,-0.00047579312
25,-12.0,0.0,6.1538463,-0.029265014,0.05046236,-7.3589865e-05
26,-12.0,0.5714286,6.1538463,-0.025511015,0.053971257,-8.215668e-05
27,-12.0,1.1428572,6.1538463,-0.010349755,0.051018853,-0.00011017616
28,-12.0,1.7142857,6.1538463,-0.0066986214,0.05320139,-0.00013799462
29,-12.0,2.2857144,6.1538463,0.008653295,0.05184951,-0.00016182456
30,-12.0,2.857143,6.1538463,0.012545424,0.052527,-0.00021440389
31,-12.0,3.4285715,6.1538463,0.028070334,0.052558687,-0.0001978349
