ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,7.504324e-06,-9.571612e-07,-1.763333e-05,-2.8365339e-05,-4.8102313e-05,4.0980713e-06
2,1,-1.9229741e-05,9.612222e-05,-3.1417672e-05,-0.0001494733,6.493093e-07,1.0809607e-05
3,1,-5.053539e-06,0.00010521346,-5.138121e-05,6.4852924e-05,-1.9500723e-05,4.670619e-06
4,1,-6.9807966e-06,0.00016079114,-6.414762e-05,-0.00016704756,-8.352653e-06,2.1787651e-05
5,1,-3.8346385e-05,0.00017634235,-5.9608523e-05,0.00015736047,5.3961526e-06,3.227363e-05
6,1,7.9842e-06,8.8084445e-05,-4.615825e-05,0.00011972381,-1.5768584e-05,3.086778e-05
7,1,-6.677856e-07,3.282546e-05,-1.8680526e-05,8.764141e-05,-8.002037e-06,1.6760847e-05
8,1,2.2050224e-05,-8.222389e-06,-2.7204575e-05,-1.6785254e-05,5.8234727e-06,1.5367932e-05
9,1,-1.700002e-05,9.15966e-05,-3.5691402e-05,-0.00015540235,-4.674009e-06,1.8457315e-05
10,1,1.347065e-06,9.3095594e-05,-4.8768496e-05,6.801397e-05,1.0014586e-05,2.2189548e-05
11,1,-1.0544496e-06,0.00015062168,-5.511589e-05,-0.00019458598,1.3404255e-05,3.759558e-05
12,1,-4.0302853e-05,0.00017043899,-5.312477e-05,0.00013312382,7.8745425e-06,5.0973907e-05
13,1,1.4696533e-05,8.305836e-05,-4.873101e-05,8.363425e-05,4.3835576e-06,5.162637e-05
14,1,-4.811727e-07,4.2537893e-05,-4.3365195e-05,6.878947e-05,-2.0093743e-05,2.3819095e-05
15,1,6.5250797e-06,-1.2333675e-05,-3.5900473e-07,-2.9223616e-05,4.390351e-05,3.8168873e-06
16,1,-1.5091475e-05,8.037036e-05,-1.551702e-05,-0.00015587184,5.6198347e-05,1.7138853e-05
17,1,-2.3443938e-06,7.896261e-05,-1.975627e-05,6.386728e-05,5.4602773e-05,2.0504287e-05
18,1,-6.799563e-06,0.00013473464,-2.5979842e-05,-0.00020454211,4.4630782e-05,2.3766199e-05
19,1,-3.888146e-05,0.00015922924,-3.3351433e-05,0.00013546685,3.4068682e-05,3.0059988e-05
20,1,9.969821e-06,7.862937e-05,-3.9772694e-05,8.278698e-05,2.1243557e-05,3.1726464e-05
21,1,4.3848813e-06,4.4887835e-05,-5.1973107e-05,7.100133e-05,2.238766e-05,1.4483496e-05
22,1,1.4622473e-05,-3.0544354e-05,3.800976e-05,-1.8546922e-05,6.22318e-05,7.8805164e-07
23,1,-2.7186803e-05,6.793308e-05,3.1301304e-05,-0.0001591469,5.7663376e-05,1.4768616e-06
24,1,-8.522547e-06,6.7889574e-05,2.0061292e-05,6.191301e-05,5.1305284e-05,5.823328e-06
25,1,-9.38663e-06,0.00012430402,8.215491e-06,-0.00019324454,4.458517e-05,9.000452e-06
26,1,-4.5074048e-05,0.00014946953,-4.0460877e-06,0.00013595042,3.615161e-05,1.4075175e-05
27,1,1.10981355e-05,7.068634e-05,-2.0455143e-05,8.595884e-05,2.9875833e-05,1.8525228e-05
28,1,-3.4246686e-06,4.1327552e-05,-3.8633505e-05,7.183124e-05,3.071393e-05,1.0756085e-05
29,1,-3.267853e-06,-4.1790623e-05,7.886001e-05,-3.3200417e-05,3.3364762e-05,-3.5250675e-06
30,1,-2.5090043e-05,5.6285677e-05,6.362177e-05,-0.00015936496,3.1957363e-05,-4.0576674e-06
31,1,-1.058509e-05,5.9181493e-05,5.0949795e-05,6.964078e-05,3.266255e-05,-2.1528463e-06
32,1,-1.3480057e-05,0.0001163032,3.670831e-05,-0.00019313696,2.8844353e-05,6.4070355e-07
33,1,-4.4556567e-05,0.00014104883,1.9282077e-05,0.0001437371,2.4738636e-05,4.816003e-06
34,1,5.9708746e-06,6.343988e-05,2.1623584e-06,8.7879765e-05,2.4423676e-05,1.0985764e-05
35,1,1.1576259e-06,3.254595e-05,-1.9665134e-05,7.1521514e-05,3.2126027e-05,6.629462e-06
36,1,1.131355e-05,-4.988773e-05,8.979886e-05,-1.9776595e-05,1.4209008e-05,-1.0150435e-06
37,1,-3.0641422e-05,5.0025876e-05,8.386899e-05,-0.00015690771,1.6513493e-05,-3.2722994e-06
38,1,-1.26673e-05,5.3062002e-05,6.94721e-05,6.485554e-05,1.5302418e-05,-3.0342512e-06
39,1,-1.3679299e-05,0.000111280875,5.269744e-05,-0.00018583477,1.4535675e-05,-1.4223575e-06
40,1,-4.7740425e-05,0.00013581988,3.5882334e-05,0.00014304268,1.3975409e-05,1.4574556e-06
41,1,7.4683207e-06,5.6994802e-05,1.7157046e-05,8.966728e-05,1.3424454e-05,4.7687895e-06
42,1,-7.3647375e-06,2.7303813e-05,-2.6940427e-06,7.272271e-05,1.7217975e-05,3.4499585e-06
43,1,-4.3054174e-06,-5.101676e-05,0.00010102195,-3.365898e-05,-6.3429457e-09,5.6962572e-09
44,1,-2.7168548e-05,4.7209916e-05,8.834045e-05,-0.00016017476,-2.2715447e-09,9.060153e-09
45,1,-1.2668825e-05,5.1478535e-05,7.500328e-05,7.0335e-05,-6.1939004e-10,1.6758092e-08
46,1,-1.540359e-05,0.00010937679,5.909649e-05,-0.00018895969,-3.8690426e-10,1.5803233e-08
47,1,-4.6566725e-05,0.00013365205,4.0789768e-05,0.00014624267,1.4886349e-09,2.0938936e-08
48,1,4.2058005e-06,5.5469332e-05,2.3559163e-05,8.958206e-05,3.4667444e-09,1.3926047e-08
49,1,-7.1048413e-07,2.412897e-05,1.9914692e-06,7.175895e-05,7.4398656e-09,8.86324e-09
50,1,1.1313977e-05,-4.9886992e-05,8.979701e-05,-1.9776004e-05,-1.4212926e-05,1.0271779e-06
51,1,-3.0641215e-05,5.0025348e-05,8.386884e-05,-0.00015690674,-1.6517379e-05,3.2907392e-06
52,1,-1.2667476e-05,5.3060772e-05,6.9473215e-05,6.485727e-05,-1.5304606e-05,3.067202e-06
53,1,-1.3678987e-05,0.000111278416,5.2699314e-05,-0.00018583404,-1.4536231e-05,1.4562784e-06
54,1,-4.7740552e-05,0.0001358178,3.5884685e-05,0.00014304217,-1.3972173e-05,-1.4165411e-06
55,1,7.468244e-06,5.6992983e-05,1.7159738e-05,8.966695e-05,-1.34182565e-05,-4.7388835e-06
56,1,-7.3650535e-06,2.730244e-05,-2.6909224e-06,7.27218e-05,-1.7204464e-05,-3.4332543e-06
57,1,-3.2680507e-06,-4.1790205e-05,7.8858204e-05,-3.320111e-05,-3.3376444e-05,3.533264e-06
58,1,-2.5090629e-05,5.6285262e-05,6.362176e-05,-0.00015936511,-3.196111e-05,4.0800373e-06
59,1,-1.0584635e-05,5.9178452e-05,5.0951818e-05,6.964657e-05,-3.266452e-05,2.1841638e-06
60,1,-1.347973e-05,0.000116298834,3.6711892e-05,-0.00019313948,-2.8845534e-05,-6.032731e-07
61,1,-4.455708e-05,0.00014104498,1.92866e-05,0.00014373829,-2.4735704e-05,-4.7757826e-06
