ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.25153652,-0.08328858,-0.22612935,-0.1276111,-0.21646947,0.012849544
2,1,-0.5379976,1.1257924,0.033134475,-0.67306656,0.0028990135,0.034057826
3,1,0.07848125,1.2195847,-0.12287847,0.2914495,-0.08776444,0.014688304
4,1,0.24711323,1.9601856,0.032755274,-0.7523544,-0.037634846,0.068627365
5,1,-1.1548704,2.0357497,0.012767585,0.7073445,0.024223918,0.10166745
6,1,0.6363923,1.0745194,-0.07657207,0.5384483,-0.071020566,0.097211465
7,1,0.051324666,0.36908802,-0.07269785,0.3942637,-0.03604026,0.052785296
8,1,0.8536093,-0.16678204,-0.32943192,-0.07542276,0.02617461,0.048417125
9,1,-0.48300013,1.0435253,-0.046949908,-0.6997229,-0.021070063,0.05813896
10,1,0.33082646,1.0928208,-0.12339217,0.30574077,0.045023803,0.069909476
11,1,0.52743596,1.9012318,0.13848391,-0.8762162,0.060241465,0.118450776
12,1,-1.2455927,1.9770336,0.06031292,0.598296,0.035343807,0.16057852
13,1,0.9159967,1.0225884,-0.10734107,0.37609118,0.019623121,0.16262953
14,1,-0.029447302,0.35661957,-0.3799312,0.30939513,-0.09046672,0.075004615
15,1,0.23970805,-0.14857952,-0.04584362,-0.13143729,0.19755885,0.012077554
16,1,-0.3368018,1.016623,0.19529438,-0.70178634,0.25285912,0.054064583
17,1,0.2419089,1.0456154,0.19923127,0.28711736,0.24567589,0.06465585
18,1,0.32947552,1.8160698,0.43926916,-0.92098105,0.20078996,0.07492773
19,1,-1.1253237,1.9448643,0.29370365,0.6088852,0.1532558,0.094732545
20,1,0.7146444,0.98544484,-0.029734286,0.3722759,0.09553311,0.09996793
21,1,0.16822685,0.36561367,-0.46487132,0.31935713,0.100716576,0.045652226
22,1,0.7525457,-0.1256007,0.46206477,-0.08329789,0.28004226,0.0025590847
23,1,-0.71485496,1.0594157,0.74600446,-0.7165235,0.25948283,0.0047297366
24,1,0.11612415,1.099294,0.6891224,0.2783405,0.23086421,0.018406527
25,1,0.3471791,1.8647361,0.870402,-0.8701125,0.20061453,0.028413597
26,1,-1.3072182,1.9502658,0.6339471,0.61107403,0.16265814,0.044382878
27,1,0.8376321,0.99768406,0.21615477,0.3865836,0.13440481,0.05839536
28,1,-0.1506758,0.35129797,-0.33433348,0.32307604,0.1381927,0.03392153
29,1,0.06561775,-0.13839903,0.89585924,-0.14926267,0.1501488,-0.011062774
30,1,-0.488992,1.1058193,1.1692768,-0.7174527,0.1438165,-0.012738728
31,1,0.14974028,1.1556257,1.0848279,0.31313923,0.14698611,-0.0067415014
32,1,0.27252313,1.9039652,1.2224338,-0.86961365,0.12979765,0.0020581414
33,1,-1.192585,1.9775842,0.933372,0.64614666,0.111316144,0.015201762
34,1,0.6821124,1.0040642,0.478505,0.3952356,0.109885134,0.034638412
35,1,0.13229802,0.36944982,-0.07832362,0.3217315,0.14455484,0.020924097
36,1,0.7878104,-0.101614416,1.0957636,-0.08877441,0.063943096,-0.0031799546
37,1,-0.67336714,1.1091632,1.3998148,-0.70639247,0.07431745,-0.0102856085
38,1,0.12376007,1.1707858,1.3112202,0.29162005,0.06886672,-0.009539231
39,1,0.32876545,1.9306284,1.4291683,-0.83673525,0.06541293,-0.0044604633
40,1,-1.2781295,1.9870936,1.1299918,0.64302945,0.062887095,0.004608691
41,1,0.80597615,1.013101,0.6713045,0.40331003,0.060400672,0.015039897
42,1,-0.2093544,0.34902993,0.091651745,0.32712498,0.077474356,0.010889461
43,1,0.09330181,-0.14011838,1.1631825,-0.15129699,-2.836607e-05,1.792264e-05
44,1,-0.49535757,1.1166189,1.4697462,-0.72107035,-1.0156963e-05,2.8500725e-05
45,1,0.14735737,1.1827393,1.3841377,0.31628326,-2.8666477e-06,5.279013e-05
46,1,0.27247354,1.932969,1.5026901,-0.8507967,-1.876449e-06,4.971588e-05
47,1,-1.2049202,1.9932959,1.1968282,0.6574415,6.4094215e-06,6.6022745e-05
48,1,0.6775224,1.0119059,0.73806065,0.40291983,1.5312815e-05,4.391308e-05
49,1,0.12162765,0.37163264,0.18163219,0.32282415,3.307643e-05,2.7950036e-05
50,1,0.7878241,-0.10161272,1.0957432,-0.08877176,-0.06396045,0.0032181276
51,1,-0.6733612,1.1091555,1.3998106,-0.70638806,-0.07433483,0.0103436215
52,1,0.12375104,1.1707735,1.3112279,0.29162773,-0.06887671,0.009643028
53,1,0.32877713,1.9306054,1.4291825,-0.83673203,-0.065415695,0.0045671836
54,1,-1.2781337,1.9870766,1.1300128,0.6430271,-0.06287309,-0.0044796816
55,1,0.80597806,1.0130905,0.67133266,0.4033085,-0.0603733,-0.014945604
56,1,-0.20935851,0.3490275,0.09168775,0.3271209,-0.07741438,-0.01083677
57,1,0.06559945,-0.13840562,0.89583373,-0.14926583,-0.1502011,0.011088548
58,1,-0.48902282,1.1058097,1.1692706,-0.7174534,-0.1438333,0.012809114
59,1,0.14975645,1.1555958,1.0848413,0.3131652,-0.14699511,0.00684015
60,1,0.2725345,1.9039247,1.2224613,-0.8696251,-0.12980318,-0.0019403752
61,1,-1.1926054,1.9775523,0.9334119,0.64615196,-0.111303404,-0.015074944
62,1,0.6821373,1.0040436,0.47855872,0.39522418,-0.10985891,-0.03453319
63,1,0.1322819,0.36944538,-0.07826165,0.32172582,-0.14449272,-0.020875677
64,1,0.7526065,-0.12559225,0.46203855,-0.083285235,-0.2800316,-0.0025335406
65,1,-0.7148486,1.0593868,0.74599737,-0.71651834,-0.2595065,-0.0046659717
66,1,0.11611119,1.0992558,0.689141,0.27835593,-0.23087695,-0.01830819
67,1,0.34719878,1.8646721,0.87043315,-0.87012154,-0.2006246,-0.028294047
68,1,-1.307231,1.9502296,0.6340031,0.6110675,-0.16264871,-0.044257443
69,1,0.8376353,0.9976524,0.21622296,0.38656756,-0.13438404,-0.058288734
70,1,-0.15069498,0.35129514,-0.3342573,0.32306874,-0.13814689,-0.033876643
71,1,0.2396317,-0.1485948,-0.04583435,-0.1314339,-0.19759905,-0.012059699
72,1,-0.33683267,1.0165982,0.19529243,-0.7017999,-0.252863,-0.054005407
73,1,0.2419314,1.045552,0.19924028,0.28716934,-0.24569981,-0.06457156
74,1,0.32951367,1.8159906,0.43929684,-0.9210405,-0.20080975,-0.07481458
75,1,-1.125396,1.9448315,0.29375404,0.6088903,-0.15325145,-0.09461846
76,1,0.7147008,0.98540634,-0.029660312,0.3722446,-0.09552502,-0.099876046
77,1,0.16818479,0.36561385,-0.46480855,0.31934765,-0.1006801,-0.045609627
78,1,0.8537208,-0.16690943,-0.32948324,-0.07537462,-0.026193209,-0.048414845
79,1,-0.4830374,1.0435659,-0.04691325,-0.6998095,0.02105081,-0.05810225
80,1,0.33076397,1.0926886,-0.12341741,0.30585417,-0.045041,-0.069842115
81,1,0.5276382,1.901182,0.13851532,-0.87634367,-0.060256906,-0.11836125
82,1,-1.2458228,1.9769876,0.06032669,0.59832627,-0.035351735,-0.16048907
83,1,0.9161682,1.022567,-0.10728041,0.37604043,-0.0196198,-0.16256677
84,1,-0.029549602,0.3566189,-0.37989467,0.30937815,0.0904697,-0.07498221
85,1,0.2515097,-0.0833774,-0.22614218,-0.1275772,0.21649331,-0.012845764
86,1,-0.53796935,1.1258237,0.0331518,-0.67312783,-0.0029214015,-0.034053974
87,1,0.07843636,1.2194988,-0.12289432,0.29151204,0.08775726,-0.014655215
