NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.029979907,0.050831083,0.00021582126
2,-12.0,0.5714286,8.0,-0.025548369,0.0540377,4.27525e-06
3,-12.0,1.1428572,8.0,-0.011192964,0.051286507,-0.000109558954
4,-12.0,1.7142857,8.0,-0.006668608,0.053395174,-2.5655261e-05
5,-12.0,2.2857144,8.0,0.007866277,0.05205762,-0.00021059635
6,-12.0,2.857143,8.0,0.012606717,0.052835412,-0.00012120535
7,-12.0,3.4285715,8.0,0.027421108,0.052718714,-0.0001957535
8,-12.0,4.0,8.0,0.032212082,0.05220924,-0.0003728049
9,-12.0,0.0,7.3846154,-0.029793616,0.05061037,-2.6739532e-05
10,-12.0,0.5714286,7.3846154,-0.025452856,0.054088093,3.9760384e-05
11,-12.0,1.1428572,7.3846154,-0.010821476,0.051155563,1.4977059e-05
12,-12.0,1.7142857,7.3846154,-0.0066218437,0.053373326,-7.573252e-05
13,-12.0,2.2857144,7.3846154,0.008204609,0.051984105,-5.698148e-05
14,-12.0,2.857143,7.3846154,0.012666589,0.052779924,-0.00013281967
15,-12.0,3.4285715,7.3846154,0.027637487,0.05265917,-0.00012100016
16,-12.0,4.0,7.3846154,0.032322727,0.05218861,-4.778189e-05
17,-12.0,0.0,6.769231,-0.029394073,0.05054798,0.00015282517
18,-12.0,0.5714286,6.769231,-0.025394905,0.05407501,6.924285e-05
19,-12.0,1.1428572,6.769231,-0.010594534,0.051070224,3.741653e-05
20,-12.0,1.7142857,6.769231,-0.0065404666,0.053328175,2.1988797e-05
21,-12.0,2.2857144,6.769231,0.00842941,0.05191184,-3.406739e-05
22,-12.0,2.857143,6.769231,0.0126888575,0.052672464,-4.5221474e-05
23,-12.0,3.4285715,6.769231,0.027890269,0.052620538,-0.0001351947
24,-12.0,4.0,6.769231,0.032265514,0.052038215,-0.00028836064
25,-12.0,0.0,6.1538463,-0.029406125,0.05054454,0.00012024616
26,-12.0,0.5714286,6.1538463,-0.025315315,0.05397458,0.000111117435
27,-12.0,1.1428572,6.1538463,-0.010485203,0.05107762,7.9597456e-05
28,-12.0,1.7142857,6.1538463,-0.0064938157,0.053231478,4.9872648e-05
29,-12.0,2.2857144,6.1538463,0.008524617,0.051880155,2.4143437e-05
30,-12.0,2.857143,6.1538463,0.012757546,0.05258366,-2.9429371e-05
31,-12.0,3.4285715,6.1538463,0.02794988,0.052563418,-2.0680547e-05
32,-12.0,4.0,6.1538463,0.032392338,0.05196949,-3.202251e-06
33,-12.0,0.0,5.5384617,-0.029312657,0.050520513,0.00011144177
34,-12.0,0.5714286,5.5384617,-0.025277011,0.053989083,9.782578e-05
35,-12.0,1.1428572,5.5384617,-0.010481441,0.05100914,8.9907546e-05
36,-12.0,1.7142857,5.5384617,-0.006436192,0.053214,5.428813e-05
37,-12.0,2.2857144,5.5384617,0.008538674,0.051818207,3.3810466e-05
