Case,ODB,E1_MPa,E2_MPa,E3_MPa,G12_MPa,G13_MPa,G23_MPa,Final_U2_mm,Final_RF2_N,Abs_Final_RF2_N,Support_1_RF2_N,Support_2_RF2_N,Force_Balance_Error_Percent
Baseline,3Point.odb,45000.0,12000.0,12000.0,4500.0,4500.0,3500.0,-0.20000000298023224,-1962.793701171875,1962.793701171875,981.3978271484375,981.3958740234375,0.0
E1_M10,Job_E1_M10.odb,40500.0,12000.0,12000.0,4500.0,4500.0,3500.0,-0.20000000298023224,-1861.614990234375,1861.614990234375,930.8087158203125,930.8062744140625,0.0
E1_P10,Job_E1_P10.odb,49500.0,12000.0,12000.0,4500.0,4500.0,3500.0,-0.20000000298023224,-2055.467529296875,2055.467529296875,1027.7349853515625,1027.732666015625,5.93881006438264e-06
E2_M10,Job_E2_M10.odb,45000.0,10800.0,12000.0,4500.0,4500.0,3500.0,-0.20000000298023224,-1937.038330078125,1937.038330078125,968.5203857421875,968.5180053710938,3.1509524257859323e-06
E2_P10,Job_E2_P10.odb,45000.0,13200.0,12000.0,4500.0,4500.0,3500.0,-0.20000000298023224,-1985.6148681640625,1985.6148681640625,992.8085327148438,992.8063354492188,0.0
E3_M10,Job_E3_M10.odb,45000.0,12000.0,10800.0,4500.0,4500.0,3500.0,-0.20000000298023224,-1959.482666015625,1959.482666015625,979.7422485351562,979.7403564453125,3.114860738937167e-06
E3_P10,Job_E3_P10.odb,45000.0,12000.0,13200.0,4500.0,4500.0,3500.0,-0.20000000298023224,-1966.0084228515625,1966.0084228515625,983.0051879882812,983.003173828125,3.104521605328253e-06
G12_M10,Job_G12_M10.odb,45000.0,12000.0,12000.0,4050.0,4500.0,3500.0,-0.20000000298023224,-1887.1029052734375,1887.1029052734375,943.5523071289062,943.5505981445312,0.0
G12_P10,Job_G12_P10.odb,45000.0,12000.0,12000.0,4950.0,4500.0,3500.0,-0.20000000298023224,-2029.8797607421875,2029.8797607421875,1014.9410400390625,1014.9387817382812,3.006836041740898e-06
G13_M10,Job_G13_M10.odb,45000.0,12000.0,12000.0,4500.0,4050.0,3500.0,-0.20000000298023224,-1962.2867431640625,1962.2867431640625,981.144287109375,981.1425170898438,3.1104096515264986e-06
G13_P10,Job_G13_P10.odb,45000.0,12000.0,12000.0,4500.0,4950.0,3500.0,-0.20000000298023224,-1963.2427978515625,1963.2427978515625,981.622314453125,981.6204223632812,3.1088949526157776e-06
G23_M10,Job_G23_M10.odb,45000.0,12000.0,12000.0,4500.0,4500.0,3150.0,-0.20000000298023224,-1962.42578125,1962.42578125,981.21484375,981.2109375,0.0
G23_P10,Job_G23_P10.odb,45000.0,12000.0,12000.0,4500.0,4500.0,3850.0,-0.20000000298023224,-1963.1129150390625,1963.1129150390625,981.5574340820312,981.5554809570312,0.0
