CaseID,E1_MPa,E2_MPa,G12_MPa,Final_U2_mm,Final_RF2_N,Abs_Final_RF2_N,NodeCount,Status
Case_0001,42125.363499,12971.493711,4219.399841,-0.200000002980232,-1873.07800292969,1873.07800292969,4592,OK
Case_0002,40615.096824,11095.679136,4063.020346,-0.200000002980232,-1781.10559082031,1781.10559082031,4592,OK
Case_0003,45060.587018,11250.468831,4777.027592,-0.200000002980232,-1990.134765625,1990.134765625,4592,OK
Case_0004,46615.160838,12620.276836,4479.740747,-0.200000002980232,-2006.09216308594,2006.09216308594,4592,OK
Case_0005,49254.4232,11552.653604,4483.356928,-0.200000002980232,-2037.86706542969,2037.86706542969,4592,OK
Case_0006,43419.679312,12700.74934,4333.107845,-0.200000002980232,-1915.22338867188,1915.22338867188,4592,OK
Case_0007,41521.805908,13187.131565,4581.730583,-0.200000002980232,-1918.76928710938,1918.76928710938,4592,OK
Case_0008,49010.035249,12573.767988,4854.538647,-0.200000002980232,-2116.3740234375,2116.3740234375,4592,OK
Case_0009,41080.177933,11047.336383,4159.697864,-0.200000002980232,-1805.47668457031,1805.47668457031,4592,OK
Case_0010,42570.963952,12950.725191,4609.67873,-0.200000002980232,-1943.36572265625,1943.36572265625,4592,OK
Case_0011,48798.180257,10854.639924,4303.091028,-0.200000002980232,-1981.59008789062,1981.59008789062,4592,OK
Case_0012,44405.665091,12094.650629,4892.100508,-0.200000002980232,-2010.00024414062,2010.00024414062,4592,OK
Case_0013,46045.283089,12197.107719,4736.963468,-0.200000002980232,-2026.31616210938,2026.31616210938,4592,OK
Case_0014,43921.169777,11863.591572,4357.966843,-0.200000002980232,-1914.26696777344,1914.26696777344,4592,OK
Case_0015,46356.521056,11350.466395,4533.407404,-0.200000002980232,-1983.08959960938,1983.08959960938,4592,OK
Case_0016,49385.669792,12328.400129,4200.377356,-0.200000002980232,-2006.091796875,2006.091796875,4592,OK
Case_0017,47271.333555,11822.088006,4804.677325,-0.200000002980232,-2055.20971679688,2055.20971679688,4592,OK
Case_0018,46211.351722,11776.328423,4352.410665,-0.200000002980232,-1959.60217285156,1959.60217285156,4592,OK
Case_0019,45692.548986,11986.660419,4935.418162,-0.200000002980232,-2043.34448242188,2043.34448242188,4592,OK
Case_0020,43885.697482,11658.469846,4096.37181,-0.200000002980232,-1866.19116210938,1866.19116210938,4592,OK
Case_0021,41740.592322,11700.042134,4454.327305,-0.200000002980232,-1877.91931152344,1877.91931152344,4592,OK
Case_0022,40909.505277,10847.871637,4083.882895,-0.200000002980232,-1785.83288574219,1785.83288574219,4592,OK
Case_0023,42015.945928,12773.369651,4401.653144,-0.200000002980232,-1896.08532714844,1896.08532714844,4592,OK
Case_0024,42664.776475,10919.68876,4514.5444,-0.200000002980232,-1891.37121582031,1891.37121582031,4592,OK
Case_0025,47129.29284,12360.367818,4565.738608,-0.200000002980232,-2025.89599609375,2025.89599609375,4592,OK
Case_0026,45377.408948,11168.663098,4377.448621,-0.200000002980232,-1933.73400878906,1933.73400878906,4592,OK
Case_0027,41775.64899,10980.277544,4713.563707,-0.200000002980232,-1900.65600585938,1900.65600585938,4592,OK
Case_0028,40684.501936,12911.295426,4277.762199,-0.200000002980232,-1848.91540527344,1848.91540527344,4592,OK
Case_0029,46899.367314,12743.453074,4187.861689,-0.200000002980232,-1963.6123046875,1963.6123046875,4592,OK
Case_0030,47826.822931,12168.36872,4537.762357,-0.200000002980232,-2031.78369140625,2031.78369140625,4592,OK
Case_0031,45196.694252,11517.236681,4431.302785,-0.200000002980232,-1946.12756347656,1946.12756347656,4592,OK
Case_0032,44245.047465,11904.155775,4688.664452,-0.200000002980232,-1973.03930664062,1973.03930664062,4592,OK
Case_0033,43136.979199,12034.544672,4130.513513,-0.200000002980232,-1863.53430175781,1863.53430175781,4592,OK
Case_0034,48641.90236,11748.892739,4248.975081,-0.200000002980232,-1989.00793457031,1989.00793457031,4592,OK
Case_0035,44992.298353,11388.067878,4147.327079,-0.200000002980232,-1892.04772949219,1892.04772949219,4592,OK
Case_0036,45828.670686,13083.233133,4752.038797,-0.200000002980232,-2041.33068847656,2041.33068847656,4592,OK
Case_0037,47623.923386,11450.554843,4820.132328,-0.200000002980232,-2056.65966796875,2056.65966796875,4592,OK
Case_0038,43298.089467,12132.574186,4245.549061,-0.200000002980232,-1887.88659667969,1887.88659667969,4592,OK
